Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,264,10,65,6,0,158,0,259,111,290,179
1952,277,17,108,6,0,218,0,218,93,286,193
1953,252,14,80,15,0,161,0,265,127,314,187
1954,262,37,88,6,0,193,0,243,116,319,203
1955,273,25,110,4,0,196,0,229,115,291,176
1956,280,39,97,1,0,209,0,226,113,304,191
1957,285,8,76,8,0,177,0,256,127,317,190
1958,270,6,93,4,0,194,0,231,107,326,219
1959,250,16,76,10,0,133,0,257,110,278,168
1960,265,21,74,4,0,202,0,247,119,313,194
1961,274,19,65,5,0,188,0,269,90,308,218
1962,296,29,97,3,0,188,0,235,120,296,176
1963,254,60,113,10,1,164,0,248,103,301,198
1964,264,29,99,14,0,165,0,229,97,299,202
1965,288,20,102,1,0,189,0,235,90,282,192
1966,269,34,82,6,0,198,0,246,111,303,192
1967,252,10,65,4,0,190,0,259,114,311,197
1968,270,28,89,12,0,177,0,239,104,318,214
1969,270,50,119,16,0,179,1,222,110,309,199
1970,270,40,109,5,0,209,0,227,104,296,192
1971,263,18,73,16,2,163,0,257,117,278,161
1972,281,22,74,9,2,161,0,247,115,292,177
1973,268,11,89,10,0,184,0,229,114,285,171
1974,277,2,45,5,0,186,0,276,115,308,193
1975,252,6,68,17,0,144,1,247,100,284,184
1976,266,25,94,12,0,153,0,237,119,305,186
1977,277,9,64,3,0,196,0,258,109,330,221
1978,291,26,88,7,0,180,1,257,131,299,168
1979,275,29,105,7,0,178,0,228,123,296,173
1980,288,30,106,2,0,196,1,230,143,305,162
1981,270,28,90,4,0,214,0,248,114,289,175
1982,245,22,73,14,0,128,0,252,111,309,198
1983,261,15,74,15,0,184,0,257,99,273,174
1984,295,17,89,4,0,190,0,237,117,305,188
1985,263,41,96,5,0,210,0,231,117,296,179
1986,284,33,77,13,1,190,0,251,103,306,203
1987,289,39,95,3,0,213,0,248,90,303,213
1988,261,6,75,3,0,202,0,250,117,299,182
1989,259,9,62,13,0,148,0,270,107,317,210
1990,264,7,47,8,0,194,0,282,99,294,195
1991,272,18,81,8,0,177,1,246,111,293,182
1992,250,13,69,16,1,173,0,253,111,285,174
1993,270,22,82,2,0,183,0,246,101,290,189
1994,268,8,51,22,6,184,0,274,108,289,181
1995,258,22,92,20,0,176,0,244,98,303,205
1996,283,46,122,8,0,146,0,225,105,319,214
1997,250,16,85,11,0,146,0,247,112,293,181
1998,262,20,64,10,0,191,0,269,104,316,212
1999,245,6,65,12,0,170,0,265,82,291,209
2000,249,11,47,10,1,177,0,286,100,352,252
2001,264,13,87,10,1,197,0,237,109,312,203
2002,247,22,63,8,0,174,1,266,98,306,208
2003,237,17,98,22,3,141,0,244,101,288,187
2004,258,13,75,6,0,184,0,257,101,312,211
2005,264,12,88,10,1,174,0,260,111,320,209
2006,234,22,83,22,2,164,0,261,95,305,210
2007,256,7,43,11,1,189,0,292,78,294,216
2008,250,6,52,18,0,177,0,280,97,322,225
2009,251,21,78,6,0,183,0,254,83,292,209
2010,271,60,103,18,4,180,0,247,73,313,240
2011,234,11,66,7,0,155,1,263,87,295,208
2012,251,26,74,10,1,184,0,269,107,301,194
2013,253,22,89,12,3,174,0,249,97,319,222
2014,245,18,37,15,1,177,0,300,65,330,265
2015,263,1,55,23,6,170,0,279,96,284,188
2016,228,11,67,14,0,179,0,263,76,313,237
2017,244,12,64,6,0,201,2,272,109,317,208
2018,212,8,66,34,7,125,0,262,91,320,229
2019,242,4,38,27,1,168,1,284,90,302,212
2020,245,0,41,19,2,155,0,294,132,324,192
2021,248,14,79,11,1,184,0,262,116,314,198
2022,241,13,63,21,0,149,0,280,106,321,215
2023,232,6,53,15,0,188,0,285,95,324,229
2024,221,8,47,21,1,165,0,294,113,325,212
