Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,260,5,70,6,0,265,120,282,162
1952,252,11,88,21,4,247,95,286,191
1953,248,8,89,15,0,257,130,281,151
1954,267,22,71,10,0,272,109,304,195
1955,257,9,111,3,0,246,115,291,176
1956,261,31,92,4,0,254,111,282,171
1957,270,9,73,10,2,279,128,273,145
1958,242,7,81,4,0,258,107,294,187
1959,240,9,87,19,0,273,112,279,167
1960,247,10,54,2,0,280,123,287,164
1961,243,14,58,12,0,286,86,294,208
1962,265,18,89,10,0,254,120,295,175
1963,253,50,102,9,1,253,103,288,185
1964,239,21,84,24,4,254,98,299,201
1965,279,7,70,3,1,261,71,294,223
1966,248,12,53,5,0,275,90,303,213
1967,254,13,71,16,1,278,115,291,176
1968,258,19,84,7,1,255,103,316,213
1969,259,32,83,11,2,253,109,309,200
1970,252,18,90,7,0,256,97,290,193
1971,246,18,76,18,0,262,118,259,141
1972,279,14,78,9,0,270,116,288,172
1973,248,8,87,15,2,238,111,285,174
1974,256,0,33,8,0,292,109,289,180
1975,245,2,58,15,0,261,96,318,222
1976,244,14,75,23,2,267,120,309,189
1977,251,6,44,3,0,283,109,330,221
1978,276,15,61,5,0,265,107,315,208
1979,248,18,55,8,0,271,126,314,188
1980,272,16,68,5,0,269,65,306,241
1981,251,12,78,6,0,256,113,310,197
1982,237,17,59,14,1,273,103,319,216
1983,247,9,66,30,3,266,87,296,209
1984,268,1,58,7,0,257,108,323,215
1985,236,31,95,8,1,254,123,294,171
1986,263,23,71,17,0,265,102,302,200
1987,254,25,81,9,1,261,103,308,205
1988,245,2,50,13,2,281,104,304,200
1989,240,5,62,16,2,284,78,313,235
1990,247,3,47,20,1,294,66,296,230
1991,254,15,75,28,2,265,114,300,186
1992,232,9,52,25,6,293,96,287,191
1993,239,13,63,15,0,277,88,316,228
1994,239,1,32,27,4,307,108,290,182
1995,256,9,55,26,0,275,89,307,218
1996,272,16,92,11,1,247,106,326,220
1997,237,18,63,20,0,278,113,297,184
1998,246,13,65,22,0,288,109,315,206
1999,220,7,51,21,1,285,109,318,209
2000,237,4,36,15,0,313,98,323,225
2001,246,5,65,26,0,277,109,309,200
2002,238,13,48,13,1,315,98,292,194
2003,219,10,81,52,8,276,100,291,191
2004,242,9,74,22,1,264,99,313,214
2005,240,13,74,30,3,265,111,318,207
2006,223,13,71,29,6,271,96,305,209
2007,231,7,37,18,1,300,69,303,234
2008,239,2,61,17,1,283,98,318,220
2009,220,14,73,15,0,282,88,287,199
2010,248,31,92,18,1,256,91,293,202
2011,212,5,54,11,1,295,124,288,164
2012,236,17,56,18,0,295,107,301,194
2013,250,12,77,20,3,255,97,315,218
2014,219,1,31,10,0,320,105,341,236
2015,243,0,62,34,7,293,97,326,229
2016,236,8,59,16,0,285,119,308,189
2017,248,8,54,23,0,284,113,303,190
2018,216,5,51,37,1,297,88,322,234
2019,231,3,50,34,1,298,86,313,227
2020,222,1,47,25,3,303,132,324,192
2021,242,6,57,10,0,282,105,312,207
2022,222,5,55,44,1,295,93,341,248
2023,218,0,46,31,0,307,110,325,215
2024,226,4,38,20,0,318,113,320,207
