Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,283,0,53,1,0,207,266,111,289,178
1952,289,15,88,3,0,220,236,95,286,191
1953,273,15,60,2,0,191,278,130,327,197
1954,298,22,66,1,0,223,266,116,319,203
1955,275,25,99,1,0,204,242,115,303,188
1956,304,32,88,0,0,224,251,113,304,191
1957,291,8,46,6,1,204,281,128,323,195
1958,272,7,78,0,0,235,246,103,314,211
1959,255,14,64,6,1,147,274,110,311,201
1960,286,12,55,0,0,227,276,123,288,165
1961,286,16,50,3,0,226,276,89,308,219
1962,306,24,80,0,0,226,240,120,305,185
1963,290,65,99,3,0,194,253,103,301,198
1964,276,24,81,7,0,198,252,96,293,197
1965,307,16,78,0,0,229,239,91,294,203
1966,283,24,67,1,0,226,257,104,301,197
1967,274,8,45,0,0,248,272,123,311,188
1968,273,23,83,2,0,221,238,102,318,216
1969,274,29,100,5,1,217,238,109,310,201
1970,284,28,80,2,0,230,246,99,311,212
1971,273,14,64,3,0,191,269,119,278,159
1972,306,11,57,4,0,186,269,115,292,177
1973,266,6,50,6,0,214,251,110,284,174
1974,288,0,27,1,0,227,292,116,309,193
1975,266,2,45,10,0,199,257,99,299,200
1976,270,14,73,9,1,188,262,119,323,204
1977,286,2,43,0,0,231,279,109,329,220
1978,304,22,73,2,0,226,261,107,311,204
1979,285,27,78,0,0,225,238,126,299,173
1980,292,19,74,0,0,215,256,111,305,194
1981,277,20,77,4,0,230,258,122,296,174
1982,257,10,54,9,0,190,266,104,334,230
1983,271,10,55,9,0,212,273,93,295,202
1984,310,4,60,2,1,207,256,108,319,211
1985,280,37,86,3,0,220,245,113,296,183
1986,290,36,66,5,0,215,261,102,332,230
1987,287,31,77,2,0,221,261,90,336,246
1988,279,1,34,0,0,226,289,115,307,192
1989,263,3,46,2,0,182,287,107,317,210
1990,278,1,33,5,0,195,302,99,313,214
1991,281,14,65,3,0,191,260,110,302,192
1992,252,12,36,6,1,206,288,88,286,198
1993,281,15,64,0,0,206,259,88,290,202
1994,281,8,39,15,2,214,286,108,289,181
1995,266,15,68,15,0,190,267,108,294,186
1996,291,44,101,3,0,170,237,126,318,192
1997,266,13,56,7,0,189,271,112,293,181
1998,276,7,47,5,0,229,293,84,310,226
1999,266,2,43,10,0,212,284,108,290,182
2000,266,3,33,5,0,234,307,100,353,253
2001,262,5,64,5,0,230,266,111,312,201
2002,262,12,51,7,0,208,295,98,280,182
2003,254,13,83,15,1,179,257,102,287,185
2004,278,4,67,6,0,208,266,102,312,210
2005,274,8,61,6,0,204,272,111,321,210
2006,244,7,73,14,0,204,270,100,304,204
2007,263,5,31,4,0,211,309,110,292,182
2009,261,13,63,5,0,218,278,89,286,197
2010,271,51,94,14,1,202,248,112,328,216
2011,262,6,62,1,0,183,279,124,315,191
2012,271,16,59,6,0,199,290,107,300,193
2013,277,20,79,10,0,194,260,117,323,206
2014,278,3,33,3,0,209,302,105,328,223
2015,282,1,45,9,0,214,289,121,306,185
2016,249,7,65,9,0,206,271,115,312,197
2017,256,8,47,4,0,217,286,128,332,204
2018,230,8,59,16,0,162,271,95,306,211
2019,253,2,46,18,2,204,296,124,302,178
2020,263,0,26,9,0,187,308,105,333,228
2021,255,12,53,2,0,216,278,127,331,204
2022,248,5,45,18,0,172,295,100,322,222
2023,240,3,50,6,0,224,297,122,321,199
2024,242,5,31,6,0,219,311,113,307,194
