Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,275,1,59,1,0,169,1,264,120,280,160
1952,267,13,87,13,4,172,0,238,95,286,191
1953,265,9,86,9,0,129,0,262,132,281,149
1954,284,23,71,4,0,174,0,265,109,308,199
1955,264,16,107,2,0,150,0,244,131,291,160
1956,289,34,92,0,0,179,0,252,111,305,194
1957,288,9,70,8,0,150,0,280,127,277,150
1958,266,8,75,0,0,187,0,259,107,315,208
1959,248,4,74,9,0,130,0,272,112,288,176
1960,275,13,54,1,0,208,0,278,123,312,189
1961,265,10,60,4,0,174,0,288,87,293,206
1962,273,11,90,7,0,152,0,246,120,287,167
1963,263,49,96,2,0,145,0,256,93,287,194
1964,251,19,76,16,0,129,0,256,98,295,197
1965,294,5,73,1,0,211,0,255,109,295,186
1966,268,12,55,4,0,193,0,275,90,303,213
1967,267,12,59,8,0,164,1,274,123,291,168
1968,266,16,77,3,0,171,0,258,103,294,191
1969,269,27,77,5,0,162,0,250,109,309,200
1970,261,18,80,1,0,200,2,250,98,296,198
1971,254,12,71,9,0,133,0,264,118,279,161
1972,288,11,60,4,1,144,0,277,116,292,176
1973,250,5,91,15,0,150,0,239,111,291,180
1974,266,0,26,3,0,203,0,297,109,289,180
1975,248,1,61,10,0,160,0,259,100,302,202
1976,247,12,72,21,3,135,0,272,120,308,188
1977,266,3,52,3,0,180,0,282,106,320,214
1978,286,15,67,2,0,173,0,263,107,292,185
1979,258,19,71,2,0,181,0,259,126,306,180
1980,290,16,69,1,0,180,0,268,80,306,226
1981,255,10,72,2,0,205,0,258,114,310,196
1982,246,12,62,10,0,180,1,276,119,319,200
1983,258,9,66,16,3,189,0,272,93,296,203
1984,274,2,65,7,0,179,1,253,129,317,188
1985,251,32,98,4,0,188,0,255,117,294,177
1986,266,22,79,9,1,190,0,258,102,302,200
1987,259,23,78,5,1,183,0,260,103,309,206
1988,252,2,47,2,0,203,0,280,104,304,200
1989,244,4,57,8,1,157,0,281,78,313,235
1990,258,4,43,12,1,172,0,289,99,309,210
1991,263,14,69,10,1,143,0,265,111,301,190
1992,248,4,54,17,1,163,0,287,110,286,176
1993,256,13,67,2,0,185,2,273,88,298,210
1994,258,3,41,23,3,187,0,300,108,280,172
1995,263,8,59,14,0,189,1,280,89,307,218
1996,277,22,85,3,0,154,1,247,106,326,220
1997,252,15,61,7,0,158,1,281,113,297,184
1998,256,11,68,14,0,183,0,284,103,315,212
1999,235,3,49,6,0,198,0,282,76,318,242
2000,250,2,33,5,0,220,0,304,96,329,233
2001,255,2,66,16,0,211,0,267,110,312,202
2002,250,14,44,9,0,200,0,311,89,292,203
2003,233,12,76,28,0,159,0,279,100,291,191
2004,262,9,72,13,1,198,0,263,99,312,213
2005,253,14,74,22,0,185,0,263,111,321,210
2006,237,9,76,22,1,193,0,270,100,305,205
2007,249,3,49,7,0,190,0,301,80,303,223
2008,249,1,81,11,0,201,0,276,107,292,185
2009,243,14,78,10,0,188,0,272,80,286,206
2010,262,29,94,15,0,208,0,254,95,293,198
2011,242,3,51,7,0,185,0,297,102,295,193
2012,249,15,59,12,0,199,0,292,107,300,193
2013,258,17,91,15,1,201,0,253,96,303,207
2014,246,1,31,7,0,197,0,309,108,336,228
2015,261,1,69,31,2,176,0,284,97,285,188
2016,249,5,68,14,0,183,0,271,119,307,188
2017,256,7,65,18,0,210,1,274,117,302,185
2018,228,8,55,28,0,168,0,291,83,303,220
2019,246,4,64,27,1,184,0,286,124,313,189
2020,234,0,46,25,0,170,0,300,105,309,204
2021,248,5,62,6,0,188,0,278,122,312,190
2022,224,4,54,40,0,159,0,291,99,342,243
2023,229,2,52,22,0,195,0,304,115,325,210
2024,241,8,36,17,1,200,1,314,113,325,212
2025,137,2,42,11,1,77,0,164,88,208,120
