Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,279,6,108,4,0,196,227,112,280,168
1952,275,37,114,14,0,232,221,95,286,191
1953,280,43,120,3,0,179,233,130,282,152
1954,291,33,102,1,0,209,236,117,308,191
1955,273,27,118,1,0,200,232,115,301,186
1956,280,53,113,0,0,190,228,111,305,194
1957,294,18,84,7,1,189,255,128,275,147
1958,263,22,102,4,0,185,232,102,295,193
1959,262,21,96,4,0,144,242,112,279,167
1960,283,21,85,0,0,199,255,117,287,170
1961,266,21,88,2,0,185,266,87,294,207
1962,269,35,114,9,0,175,215,120,295,175
1963,265,61,103,7,0,169,243,93,301,208
1964,264,39,99,11,1,178,230,98,288,190
1965,294,29,92,6,1,215,242,104,295,191
1966,264,21,76,2,0,218,248,90,303,213
1967,262,20,76,11,1,187,248,115,291,176
1968,277,36,104,1,0,184,240,102,294,192
1969,262,39,103,5,0,165,231,109,309,200
1970,265,32,103,2,0,219,223,101,290,189
1971,261,27,99,9,0,169,238,90,288,198
1972,290,24,86,5,0,157,248,116,292,176
1973,258,25,116,2,0,194,217,111,291,180
1974,274,2,51,5,0,203,250,109,303,194
1975,256,11,80,2,0,175,239,100,319,219
1976,265,29,89,6,0,165,251,121,325,204
1977,270,17,70,1,0,187,265,106,323,217
1978,289,28,92,0,0,194,243,108,313,205
1979,269,16,71,2,0,198,249,123,298,175
1980,287,31,83,3,0,194,234,96,305,209
1981,262,31,94,2,0,210,243,108,297,189
1982,250,20,72,5,0,171,253,103,310,207
1983,258,23,80,12,4,173,255,88,296,208
1984,282,17,97,4,0,173,230,119,318,199
1985,256,43,106,7,1,181,234,123,297,174
1986,265,34,85,4,1,180,241,103,300,197
1987,268,35,93,2,0,208,247,92,309,217
1988,259,8,69,4,2,205,246,114,305,191
1989,264,7,73,2,0,170,263,82,311,229
1990,263,12,68,5,0,186,265,74,295,221
1991,265,22,94,3,1,181,241,114,294,180
1992,239,18,64,17,4,179,260,89,292,203
1993,258,29,81,3,0,201,254,98,320,222
1994,247,10,44,19,3,206,286,93,335,242
1995,268,28,83,7,0,207,250,98,307,209
1996,273,46,111,5,0,189,226,95,326,231
1997,256,19,79,1,0,178,250,111,299,188
1998,264,24,82,13,1,214,261,104,311,207
1999,246,18,85,3,0,209,248,77,289,212
2000,253,10,65,7,0,207,269,97,316,219
2001,263,22,90,9,0,217,247,112,307,195
2002,258,17,63,7,1,200,280,97,335,238
2003,237,24,109,31,4,167,229,100,290,190
2004,265,28,100,3,0,202,242,99,312,213
2005,260,36,96,9,1,196,246,111,321,210
2006,252,29,98,17,2,197,249,101,305,204
2007,253,17,58,10,1,202,272,82,292,210
2009,247,28,88,9,0,205,245,83,286,203
2010,283,52,100,14,0,228,241,73,293,220
2011,244,18,78,9,1,181,262,81,293,212
2012,246,24,74,13,0,210,265,99,300,201
2013,265,29,93,17,0,201,228,97,328,231
2014,256,3,44,9,1,191,281,106,341,235
2015,254,7,87,31,3,184,268,96,305,209
2016,250,9,73,10,1,197,259,115,307,192
2017,252,20,77,21,2,191,258,119,317,198
2018,216,15,70,14,3,171,267,83,320,237
2019,247,12,66,15,0,176,271,80,312,232
2020,254,1,68,11,0,165,272,92,324,232
2021,264,13,94,8,0,207,249,105,310,205
2022,238,7,67,19,0,187,272,106,328,222
2023,229,11,63,23,2,194,285,95,312,217
2024,241,10,48,17,0,201,287,68,319,251
2025,143,3,51,11,0,84,140,97,197,100
