Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,289,0,38,0,0,216,0,259,111,344,233
1952,282,8,84,6,1,226,0,230,94,318,224
1953,290,17,53,0,0,207,0,277,82,328,246
1954,307,16,57,0,0,235,1,262,107,313,206
1955,276,11,92,1,0,217,0,238,114,291,177
1956,307,30,86,0,0,231,0,250,110,304,194
1957,301,7,52,9,1,220,1,276,127,324,197
1958,277,9,70,0,0,231,0,252,101,329,228
1959,254,6,59,6,2,151,0,269,110,301,191
1960,289,10,53,0,0,231,0,269,123,312,189
1961,290,13,46,2,0,221,1,281,86,309,223
1962,305,23,88,0,0,222,0,233,120,304,184
1963,289,50,97,1,0,194,0,257,94,324,230
1964,278,12,74,8,0,184,0,249,98,309,211
1965,312,18,71,0,0,237,0,246,114,308,194
1966,278,12,62,2,1,230,0,260,103,302,199
1967,280,12,42,1,0,231,0,264,114,320,206
1968,286,18,78,2,1,213,1,237,103,316,213
1969,277,24,87,2,1,210,0,240,109,327,218
1970,280,26,75,0,0,232,0,238,99,311,212
1971,277,18,55,0,0,194,0,252,118,287,169
1972,308,9,49,4,1,184,0,266,115,292,177
1973,270,7,60,3,0,207,0,233,103,321,218
1974,294,0,25,1,0,228,0,286,67,309,242
1975,272,2,45,9,1,205,0,255,100,316,216
1976,270,17,66,18,2,185,0,270,119,325,206
1977,291,5,45,1,0,220,0,278,105,329,224
1978,308,13,70,2,2,213,0,260,106,312,206
1979,286,22,87,1,0,217,0,234,126,314,188
1980,301,21,63,2,0,223,0,253,80,305,225
1981,283,21,85,3,0,240,0,244,121,310,189
1982,261,8,50,4,0,201,0,267,103,333,230
1983,275,9,62,8,1,212,0,263,93,296,203
1984,302,1,47,5,1,222,0,249,93,353,260
1985,276,41,96,2,0,231,0,243,117,299,182
1986,285,26,72,3,0,194,0,249,102,312,210
1987,296,32,85,2,1,223,0,255,88,311,223
1988,285,2,39,1,1,244,0,274,114,303,189
1989,266,4,37,5,1,187,0,276,118,321,203
1990,280,5,41,5,0,201,1,287,108,325,217
1991,280,13,59,5,1,189,0,257,110,320,210
1992,265,7,34,7,1,214,0,278,88,286,198
1993,281,16,65,1,0,204,0,260,88,303,215
1994,276,5,31,19,5,207,0,286,96,290,194
1995,275,14,59,16,2,204,0,266,88,307,219
1996,293,26,96,3,0,187,0,244,125,318,193
1997,271,12,47,6,0,189,0,274,110,294,184
1998,284,9,48,8,0,239,1,282,103,320,217
1999,260,8,42,8,0,229,0,272,69,291,222
2000,274,3,41,5,0,243,0,292,96,351,255
2001,275,5,57,7,2,233,0,264,110,312,202
2002,268,9,42,8,1,217,0,302,96,313,217
2003,252,11,69,16,3,180,0,272,101,290,189
2004,280,5,81,6,0,222,1,256,102,313,211
2005,268,12,70,6,0,222,1,265,111,321,210
2006,249,7,74,17,2,198,0,266,100,304,204
2007,268,1,44,4,0,215,0,301,110,292,182
2008,265,1,68,1,0,213,0,277,107,302,195
2009,272,14,66,2,0,217,0,271,89,286,197
2010,273,37,95,11,0,206,0,249,112,286,174
2011,260,3,46,2,0,191,0,296,87,318,231
2012,266,15,45,3,1,224,0,294,107,300,193
2013,276,18,79,10,1,207,0,253,96,317,221
2014,273,1,22,3,0,208,0,305,105,328,223
2015,282,1,40,14,2,222,0,284,96,285,189
2016,252,2,56,11,0,219,0,273,77,312,235
2017,254,6,50,5,0,230,0,278,116,310,194
2018,232,3,53,14,1,182,0,275,95,306,211
2019,253,3,45,13,1,211,0,288,124,302,178
2020,253,0,33,13,2,205,0,301,132,309,177
2021,259,5,65,3,2,221,1,276,122,313,191
2022,238,3,37,19,0,188,0,294,99,337,238
2023,238,2,41,7,0,229,0,303,115,331,216
2024,242,4,31,9,0,234,0,314,113,324,211
2025,144,1,41,6,0,87,0,154,96,208,112
