Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,259,6,68,5,0,157,260,112,279,167
1952,271,14,106,9,1,203,224,92,292,200
1953,259,15,90,10,0,153,260,133,311,178
1954,267,33,83,5,0,192,241,134,317,183
1955,270,25,105,2,0,206,230,115,291,176
1956,279,42,94,5,0,216,242,113,304,191
1957,274,11,69,12,3,189,262,129,319,190
1958,249,9,76,3,0,200,242,103,311,208
1959,260,14,77,10,0,146,260,110,271,161
1960,270,17,71,3,0,193,256,97,288,191
1961,266,20,61,7,0,194,272,86,322,236
1962,280,25,91,4,0,185,231,120,294,174
1963,260,58,103,12,0,184,248,116,301,185
1964,260,33,91,18,1,163,232,84,299,215
1965,286,19,90,2,0,205,237,91,293,202
1966,258,18,78,7,0,178,257,92,302,210
1967,262,9,55,11,0,177,267,112,321,209
1968,269,17,91,9,0,176,240,105,293,188
1969,268,46,108,15,0,146,229,109,310,201
1970,268,29,87,12,0,204,233,95,287,192
1971,267,19,77,16,0,162,253,123,278,155
1972,285,19,75,13,2,142,250,116,275,159
1973,265,9,69,8,0,173,230,103,285,182
1974,278,0,29,5,0,198,266,107,309,202
1975,248,7,57,12,0,150,260,95,283,188
1976,264,19,81,15,1,146,243,120,338,218
1977,267,8,64,3,0,192,262,109,331,222
1978,287,18,78,5,0,176,256,131,312,181
1979,268,20,92,8,0,171,230,130,295,165
1980,289,30,103,2,0,193,235,136,284,148
1981,275,26,96,4,0,201,248,114,297,183
1982,243,18,79,12,0,129,254,117,309,192
1983,262,16,64,15,1,161,261,93,315,222
1984,294,12,77,4,1,174,238,119,339,220
1985,263,45,96,2,0,181,235,115,293,178
1986,278,37,74,8,1,171,258,103,306,203
1987,277,42,91,1,1,184,247,89,313,224
1988,258,7,65,5,1,196,249,117,299,182
1989,258,5,62,7,0,166,276,107,313,206
1990,262,4,38,10,0,165,283,99,294,195
1991,271,17,84,8,0,145,246,116,294,178
1992,247,10,55,16,0,168,257,111,286,175
1993,255,22,86,4,0,174,245,101,290,189
1994,257,7,53,24,4,185,277,108,279,171
1995,262,22,93,16,0,203,247,89,294,205
1996,284,48,123,2,0,188,224,106,327,221
1997,257,16,81,9,0,180,242,111,289,178
1998,263,21,65,8,0,206,271,84,291,207
1999,246,7,68,2,1,206,259,110,290,180
2000,246,6,49,14,0,202,287,100,353,253
2001,263,9,88,7,1,214,239,109,313,204
2002,243,17,66,9,0,186,273,99,308,209
2003,237,19,99,26,0,149,244,102,286,184
2004,257,15,79,5,0,207,259,89,315,226
2005,259,15,82,6,0,190,254,111,318,207
2006,241,22,81,22,0,183,265,101,305,204
2007,250,10,49,11,1,201,290,94,293,199
2009,242,21,74,6,0,207,264,90,292,202
2010,265,45,104,17,1,194,251,112,283,171
2011,231,10,76,7,0,164,273,124,287,163
2012,237,19,70,17,3,187,273,107,301,194
2013,250,26,91,16,2,188,250,97,273,176
2014,239,10,58,13,0,182,305,123,329,206
2015,256,1,56,29,3,181,279,108,283,175
2016,237,10,78,12,0,190,266,111,304,193
2017,236,14,69,16,0,200,279,119,320,201
2018,215,10,67,37,3,134,266,88,319,231
2019,237,4,56,32,2,156,290,125,279,154
2020,249,0,57,19,0,153,287,132,314,182
2021,252,12,73,10,3,196,262,116,282,166
2022,235,8,61,23,3,166,280,109,321,212
2023,227,3,51,19,1,197,289,116,290,174
2024,220,4,52,30,0,170,293,113,307,194
