Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,259,7,61,5,0,171,269,112,279,167
1952,264,18,100,9,1,198,227,93,293,200
1953,248,14,70,11,0,159,271,100,314,214
1954,263,34,77,7,0,191,254,112,319,207
1955,271,26,104,1,0,193,233,115,304,189
1956,274,44,87,1,0,214,240,113,304,191
1957,277,9,62,11,1,183,263,128,319,191
1958,249,10,80,2,0,188,240,107,309,202
1959,257,16,85,7,1,144,267,110,272,162
1960,270,19,70,3,0,209,261,97,313,216
1961,265,19,51,9,0,194,278,86,323,237
1962,284,27,86,3,0,185,237,87,293,206
1963,260,67,109,8,0,173,252,98,301,203
1964,259,32,86,19,0,161,233,84,288,204
1965,290,23,83,1,0,218,237,90,283,193
1966,266,24,70,5,0,224,257,104,303,199
1967,256,12,50,7,0,188,263,114,311,197
1968,260,30,90,5,0,196,240,104,293,189
1969,271,43,121,13,0,168,229,110,309,199
1970,273,35,93,3,0,209,232,103,287,184
1971,269,17,72,19,1,153,249,119,278,159
1972,290,15,81,8,0,136,255,116,277,161
1973,263,13,78,6,0,180,228,103,285,182
1974,275,0,36,5,1,186,270,116,310,194
1975,245,9,60,11,0,156,248,100,283,183
1976,266,24,87,12,2,146,241,119,324,205
1977,276,8,53,3,0,176,266,109,331,222
1978,293,24,74,6,0,171,261,107,311,204
1979,272,24,89,5,0,178,236,107,295,188
1980,288,28,88,2,0,197,237,112,305,193
1981,268,29,91,3,0,228,248,114,313,199
1982,241,13,65,8,0,145,260,104,309,205
1983,262,19,72,15,2,182,261,93,296,203
1984,291,11,79,4,1,178,242,119,318,199
1985,257,49,94,4,1,202,236,118,293,175
1986,283,40,77,9,0,185,255,103,306,203
1987,280,44,92,2,0,206,245,89,303,214
1988,260,5,62,6,0,214,259,117,304,187
1989,252,7,53,8,0,163,279,92,316,224
1990,253,5,42,11,0,171,287,99,294,195
1991,261,15,76,7,1,161,252,110,294,184
1992,247,12,49,15,3,183,263,111,286,175
1993,259,26,78,2,0,195,250,101,290,189
1994,255,8,38,22,2,192,283,86,290,204
1995,258,24,80,16,0,201,253,88,307,219
1996,279,49,113,5,0,188,225,105,327,222
1997,250,14,71,10,1,185,252,111,294,183
1998,254,18,60,8,1,205,279,84,316,232
1999,242,6,56,5,0,202,271,76,291,215
2000,244,5,38,10,0,193,291,96,353,257
2001,257,12,73,9,1,221,257,109,313,204
2002,244,17,60,8,0,179,278,98,308,210
2003,237,21,82,23,4,150,248,101,289,188
2004,264,12,79,2,0,201,255,87,285,198
2005,265,19,88,9,0,197,255,112,291,179
2006,241,20,80,20,0,192,261,95,305,210
2007,254,9,49,6,1,199,288,111,292,181
2009,255,23,80,5,0,205,263,90,292,202
2010,271,58,108,11,1,194,245,113,286,173
2011,244,12,77,4,0,159,264,124,287,163
2012,244,24,71,11,1,190,275,107,300,193
2013,254,29,94,11,0,198,250,97,315,218
2014,252,13,53,9,1,188,299,106,329,223
2015,265,3,59,22,0,182,278,108,283,175
2016,237,10,75,15,0,190,265,115,307,192
2017,246,13,68,9,0,214,276,119,316,197
2018,221,11,72,36,5,143,265,95,319,224
2019,239,6,53,25,1,168,286,103,302,199
2020,248,1,47,16,2,159,290,132,311,179
2021,252,11,78,6,1,198,263,116,282,166
2022,237,8,62,21,1,154,281,107,316,209
2023,233,6,56,13,1,187,289,116,290,174
2024,220,7,44,25,0,165,299,113,307,194
