Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,283,0,46,4,0,204,273,112,282,170
1952,278,5,77,8,2,223,237,94,285,191
1953,269,14,59,4,0,189,277,130,326,196
1954,296,21,62,0,0,218,274,119,319,200
1955,275,17,89,2,0,216,249,142,303,161
1956,296,28,87,0,0,232,262,114,281,167
1957,290,6,51,9,1,211,287,147,318,171
1958,272,4,78,1,0,225,256,123,326,203
1959,257,4,65,6,0,147,287,110,278,168
1960,282,11,58,0,0,239,281,123,271,148
1961,287,10,46,7,0,225,287,80,308,228
1962,296,16,77,0,0,216,252,84,317,233
1963,279,52,96,2,0,187,260,102,301,199
1964,271,11,76,7,1,183,252,97,293,196
1965,300,12,66,0,0,243,254,80,294,214
1966,275,12,60,4,0,222,267,104,301,197
1967,261,8,41,3,2,229,283,114,311,197
1968,260,17,70,3,0,224,246,103,316,213
1969,264,19,91,7,0,211,250,109,327,218
1970,267,19,70,1,0,236,260,99,341,242
1971,260,14,50,1,0,182,283,119,287,168
1972,299,8,46,4,0,175,281,115,292,177
1973,259,3,52,7,1,198,257,103,321,218
1974,285,0,24,2,0,224,300,106,309,203
1975,262,3,46,9,0,195,263,100,318,218
1976,259,12,62,13,0,186,271,119,325,206
1977,278,3,42,1,0,232,286,109,329,220
1978,300,15,65,3,0,221,264,106,313,207
1979,271,20,76,1,0,222,248,126,299,173
1980,284,15,69,1,0,222,270,97,305,208
1981,268,11,70,3,0,257,263,113,310,197
1982,253,8,56,7,0,196,280,104,310,206
1983,261,8,57,10,1,216,277,71,294,223
1984,298,1,45,4,1,206,267,96,336,240
1985,271,37,90,2,0,229,256,115,294,179
1986,283,23,66,4,1,198,270,102,332,230
1987,278,26,78,3,1,229,264,90,308,218
1988,272,0,31,0,0,235,297,116,307,191
1989,255,0,41,6,0,186,298,118,317,199
1990,272,0,32,6,0,199,302,99,295,196
1991,278,11,70,6,1,190,275,114,299,185
1992,251,1,28,6,1,207,297,49,286,237
1993,271,9,61,0,0,213,272,88,290,202
1994,271,4,32,19,1,211,296,108,290,182
1995,260,13,60,14,0,209,277,110,307,197
1996,291,30,95,3,0,185,247,126,318,192
1997,262,13,57,6,0,188,285,112,293,181
1998,268,4,40,6,0,238,296,84,320,236
1999,251,2,35,10,0,225,293,87,316,229
2000,258,1,33,5,0,238,310,98,353,255
2001,252,2,55,8,0,233,280,110,312,202
2002,257,4,38,9,2,222,308,98,339,241
2003,251,11,77,20,2,166,268,101,288,187
2004,274,3,76,5,0,216,261,102,313,211
2005,261,14,65,7,0,220,274,111,321,210
2006,234,5,69,17,0,198,274,100,305,205
2007,255,3,32,5,0,212,307,110,292,182
2009,266,13,67,5,0,219,278,89,286,197
2010,274,38,95,13,1,195,250,124,286,162
2011,259,2,58,2,0,194,296,124,294,170
2012,267,15,54,4,0,214,297,107,300,193
2013,271,19,72,11,0,202,260,117,317,200
2014,271,1,31,3,0,208,316,105,324,219
2015,280,0,45,11,0,209,293,117,285,168
2016,248,1,67,12,0,205,280,110,312,202
2017,249,4,54,5,0,219,295,129,310,181
2018,232,7,61,13,0,170,279,95,306,211
2019,252,2,52,18,1,203,298,132,302,170
2020,264,0,37,14,0,199,308,132,309,177
2021,258,8,65,3,0,210,280,127,313,186
2022,242,2,39,19,0,177,300,100,317,217
2023,237,0,37,12,0,219,307,94,325,231
2024,236,3,26,11,0,219,315,113,325,212
