Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,261,0,30,1,0,197,0,282,111,288,177
1952,262,5,69,7,1,206,1,250,93,291,198
1953,268,11,52,3,0,169,0,282,130,328,198
1954,287,15,57,1,0,198,1,282,107,313,206
1955,272,6,86,2,0,208,0,256,142,301,159
1956,290,25,78,1,0,216,0,265,114,304,190
1957,282,4,44,10,1,199,0,292,127,324,197
1958,259,1,66,2,0,216,0,260,102,334,232
1959,240,5,52,13,2,141,0,286,110,301,191
1960,270,8,46,1,0,226,0,293,120,312,192
1961,272,13,39,7,0,209,0,297,80,309,229
1962,296,11,73,1,0,210,0,254,120,317,197
1963,273,42,97,4,0,193,0,260,102,302,200
1964,263,10,75,11,0,178,0,265,98,293,195
1965,286,6,65,1,0,226,0,263,80,295,215
1966,270,10,54,6,0,229,0,272,103,302,199
1967,262,7,38,4,0,229,0,287,114,311,197
1968,256,11,66,4,0,211,0,256,103,314,211
1969,259,15,71,9,2,198,0,260,107,330,223
1970,256,18,60,1,0,222,0,262,98,311,213
1971,256,13,47,2,0,181,0,289,119,287,168
1972,293,5,43,4,0,176,0,285,115,292,177
1973,255,1,60,13,0,188,0,263,103,284,181
1974,276,0,16,3,2,226,0,313,68,309,241
1975,255,1,32,13,0,196,0,279,89,317,228
1976,249,8,55,21,1,163,0,282,119,325,206
1977,275,1,42,1,0,228,0,292,109,329,220
1978,287,9,51,3,0,201,0,275,106,313,207
1979,268,20,72,3,0,207,0,258,108,300,192
1980,277,8,58,3,0,211,1,281,97,304,207
1981,258,8,66,3,0,231,0,266,113,311,198
1982,247,7,42,6,1,191,0,285,104,334,230
1983,261,3,51,9,1,200,0,281,93,294,201
1984,290,0,38,6,1,208,1,282,108,361,253
1985,259,31,77,4,0,209,0,256,115,298,183
1986,270,17,64,6,0,182,0,272,102,332,230
1987,269,18,72,3,1,213,1,265,88,333,245
1988,261,0,16,1,0,227,0,303,104,307,203
1989,246,0,25,8,1,173,0,300,118,326,208
1990,261,0,22,7,1,191,0,313,99,325,226
1991,266,7,56,6,2,163,0,285,110,324,214
1992,244,2,28,9,2,192,0,298,95,286,191
1993,258,5,54,2,0,193,0,284,88,290,202
1994,263,3,27,19,5,205,1,303,99,343,244
1995,256,6,47,20,0,191,0,280,88,307,219
1996,280,19,91,4,0,174,1,251,125,318,193
1997,253,12,38,8,2,186,0,296,110,294,184
1998,260,3,39,8,0,224,0,303,103,321,218
1999,241,1,30,9,0,212,0,301,69,316,247
2000,251,0,31,4,1,227,0,312,96,351,255
2001,248,1,48,10,0,219,0,278,110,313,203
2002,246,3,33,7,0,202,0,315,96,340,244
2003,238,9,62,17,3,157,0,292,100,290,190
2004,257,4,65,4,0,200,0,274,102,313,211
2005,249,6,55,9,1,204,0,280,68,321,253
2006,231,3,60,20,4,189,0,277,100,305,205
2007,243,2,28,4,0,202,0,318,78,295,217
2008,248,0,45,3,0,210,0,295,107,302,195
2009,256,10,56,7,0,213,0,284,89,286,197
2010,258,34,89,14,2,203,0,257,111,286,175
2011,244,2,40,4,1,179,0,305,87,317,230
2012,254,14,37,5,1,210,0,304,107,300,193
2013,258,14,66,11,1,196,0,269,96,319,223
2014,250,1,20,4,1,200,0,322,105,328,223
2015,272,0,36,14,2,206,0,300,117,325,208
2016,242,1,52,14,0,204,0,287,77,316,239
2017,238,1,45,9,0,212,0,298,116,310,194
2018,223,3,48,21,1,172,0,288,85,307,222
2019,238,2,35,17,2,191,0,304,102,303,201
2020,234,0,25,19,5,193,0,319,105,309,204
2021,246,4,51,3,2,212,0,285,112,314,202
2022,231,3,29,23,0,166,0,314,99,322,223
2023,227,0,36,16,0,230,0,310,115,331,216
2024,233,3,24,11,0,223,0,326,113,325,212
2025,133,1,34,9,0,86,0,158,76,208,132
