Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,261,0,31,1,0,199,0,278,111,288,177
1952,264,5,63,6,1,197,1,251,93,318,225
1953,263,11,44,3,0,193,1,288,73,328,255
1954,292,16,56,1,0,217,1,278,107,322,215
1955,271,6,88,1,0,203,0,255,114,301,187
1956,294,27,82,1,0,204,0,263,114,304,190
1957,283,3,47,10,1,192,0,289,127,321,194
1958,260,1,70,1,0,219,0,260,102,334,232
1959,245,6,57,9,2,141,0,284,110,301,191
1960,271,9,45,0,0,228,0,292,123,312,189
1961,274,11,37,7,0,227,0,296,86,309,223
1962,297,11,73,1,0,224,0,253,120,317,197
1963,272,44,95,3,0,204,0,260,102,336,234
1964,263,9,73,12,0,189,0,261,98,293,195
1965,292,5,65,0,0,244,0,262,109,295,186
1966,270,10,54,5,0,240,0,271,103,302,199
1967,263,7,45,4,0,239,0,283,114,311,197
1968,264,11,70,4,0,247,0,253,103,314,211
1969,265,17,72,8,0,241,0,255,108,330,222
1970,260,17,63,1,0,254,0,257,98,311,213
1971,263,13,53,1,0,213,0,282,115,287,172
1972,296,7,47,4,0,212,0,278,115,292,177
1973,256,1,65,9,0,216,0,259,103,284,181
1974,277,0,19,3,1,224,0,309,66,309,243
1975,256,2,34,13,0,201,0,277,94,317,223
1976,254,9,60,21,0,166,0,280,119,325,206
1977,279,0,46,1,0,209,0,289,109,329,220
1978,292,9,60,3,0,208,0,273,107,313,206
1979,272,20,79,0,0,210,0,252,126,300,174
1980,285,10,59,2,0,211,0,277,97,304,207
1981,259,9,69,3,0,212,0,266,122,311,189
1982,250,8,52,6,0,180,0,284,104,334,230
1983,261,3,57,9,0,193,0,276,93,294,201
1984,294,0,42,6,1,200,0,275,108,361,253
1985,264,34,86,2,0,194,0,253,115,298,183
1986,272,19,65,5,0,185,0,267,102,332,230
1987,270,18,73,3,1,206,0,264,88,333,245
1988,265,0,22,1,0,220,0,298,114,307,193
1989,251,0,32,7,2,174,0,293,118,326,208
1990,264,0,28,7,1,178,0,309,99,325,226
1991,267,12,59,6,1,144,0,281,110,324,214
1992,247,2,34,9,1,190,0,292,95,286,191
1993,264,9,58,2,0,187,0,280,88,290,202
1994,265,3,31,19,4,178,0,301,108,290,182
1995,257,9,51,20,0,192,0,281,110,307,197
1996,282,17,89,4,0,168,0,250,125,318,193
1997,255,11,44,7,2,171,0,292,112,294,182
1998,264,3,40,7,0,227,0,295,103,321,218
1999,247,1,32,9,0,217,0,297,106,316,210
2000,257,0,35,4,0,210,0,311,98,351,253
2001,253,1,53,10,0,210,0,278,110,312,202
2002,251,3,34,7,0,206,0,315,96,340,244
2003,241,9,66,19,2,167,0,285,100,290,190
2004,266,5,69,5,0,211,0,270,102,313,211
2005,255,7,56,9,1,208,0,278,68,321,253
2006,233,4,65,17,2,197,0,276,100,305,205
2007,247,2,32,4,0,208,0,311,94,292,198
2008,251,1,50,2,0,212,0,291,107,302,195
2009,255,11,61,8,0,206,0,282,89,286,197
2010,260,32,90,13,1,208,0,257,112,286,174
2011,246,2,42,4,1,176,0,302,87,317,230
2012,255,14,39,6,1,210,0,304,107,300,193
2013,258,14,67,10,1,201,0,264,97,319,222
2014,253,1,21,4,1,199,0,323,105,328,223
2015,274,0,37,15,2,205,0,299,96,325,229
2016,244,2,54,13,0,207,0,285,77,316,239
2017,240,3,40,10,0,206,0,296,109,310,201
2018,225,3,50,19,0,175,0,285,95,306,211
2019,242,2,40,18,1,188,0,302,102,302,200
2020,234,0,28,19,3,187,0,315,105,309,204
2021,247,4,54,3,2,204,0,285,122,314,192
2022,233,3,36,22,0,166,0,306,99,323,224
2023,228,0,39,12,0,217,0,308,115,331,216
2024,233,4,24,11,0,216,0,325,113,325,212
2025,134,2,37,9,0,86,0,156,96,208,112
