Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,285,0,36,0,0,205,1,267,111,344,233
1952,286,7,84,7,1,211,0,231,94,285,191
1953,282,16,57,2,0,182,0,279,130,328,198
1954,306,19,58,0,0,215,1,264,117,323,206
1955,277,14,90,1,0,198,0,245,142,304,162
1956,305,31,85,0,0,209,0,254,113,304,191
1957,299,8,50,8,1,200,0,281,127,323,196
1958,278,7,68,0,0,219,0,252,106,334,228
1959,255,6,60,5,2,144,0,274,110,301,191
1960,290,10,51,0,0,220,0,274,123,312,189
1961,289,11,45,5,0,210,1,283,86,308,222
1962,306,19,82,0,0,209,0,234,120,317,197
1963,289,47,100,2,0,181,0,256,102,302,200
1964,277,11,76,9,0,178,0,252,98,309,211
1965,310,14,68,0,0,227,0,249,90,307,217
1966,284,13,60,3,0,225,0,261,103,302,199
1967,281,12,49,2,0,237,0,272,114,311,197
1968,281,16,77,3,0,225,1,241,103,315,212
1969,273,21,89,6,0,207,0,241,109,329,220
1970,281,22,75,0,0,230,0,248,99,342,243
1971,278,14,56,1,0,194,0,264,119,287,168
1972,306,8,47,4,0,172,0,269,115,292,177
1973,268,6,57,4,0,199,0,245,110,321,211
1974,295,0,27,2,0,232,0,296,106,309,203
1975,268,2,43,10,2,205,0,259,100,317,217
1976,267,15,62,15,0,176,0,275,119,325,206
1977,290,3,45,1,0,216,0,280,109,329,220
1978,306,13,64,2,1,226,0,262,106,312,206
1979,281,20,83,1,0,220,0,243,126,300,174
1980,294,16,65,1,0,219,0,259,97,304,207
1981,272,14,79,3,0,245,0,256,122,310,188
1982,262,6,53,5,0,202,0,275,103,333,230
1983,273,7,60,10,0,217,0,267,87,295,208
1984,299,1,47,5,1,232,0,257,93,362,269
1985,278,38,91,2,0,236,0,247,117,299,182
1986,284,23,67,5,0,195,0,257,102,332,230
1987,286,27,80,2,1,225,0,262,90,311,221
1988,284,0,37,0,0,239,0,284,114,303,189
1989,263,1,37,6,1,188,0,289,77,321,244
1990,278,2,35,5,0,201,1,293,99,325,226
1991,278,11,61,5,1,170,0,268,114,320,206
1992,257,2,31,7,1,200,0,286,95,286,191
1993,277,9,63,1,0,191,0,269,88,290,202
1994,274,3,31,19,1,202,1,290,108,290,182
1995,268,8,58,16,0,195,0,270,89,307,218
1996,289,21,92,3,0,181,0,247,125,318,193
1997,264,12,47,7,0,177,0,279,112,294,182
1998,279,3,48,6,0,252,1,285,103,320,217
1999,260,3,37,7,0,229,0,284,69,291,222
2000,265,1,36,4,0,249,0,303,96,351,255
2001,262,3,55,8,0,251,0,268,110,312,202
2002,264,5,41,7,1,228,0,309,96,340,244
2003,250,11,71,17,3,188,0,274,101,290,189
2004,275,4,75,5,0,221,0,259,102,313,211
2005,267,13,66,6,0,232,0,269,110,321,211
2006,248,5,70,17,1,197,0,266,100,305,205
2007,266,1,41,4,0,219,1,303,110,292,182
2008,265,1,63,1,0,209,0,278,107,302,195
2009,270,13,62,1,0,221,0,273,89,286,197
2010,274,38,95,10,0,210,0,250,112,286,174
2011,260,2,45,2,0,194,0,297,87,316,229
2012,267,15,45,3,1,226,0,297,107,300,193
2013,274,18,74,10,1,210,0,255,96,319,223
2014,269,1,22,3,0,215,0,310,105,324,219
2015,282,2,41,13,2,216,0,287,96,284,188
2016,251,2,54,11,0,225,0,275,77,312,235
2017,254,4,44,5,0,224,0,282,116,310,194
2018,232,5,53,13,0,178,0,276,95,306,211
2019,254,3,43,14,1,203,0,294,124,302,178
2020,255,0,31,14,1,200,0,304,132,309,177
2021,257,5,61,3,1,228,1,276,122,314,192
2022,240,3,38,19,0,186,0,296,99,322,223
2023,239,3,39,9,0,240,0,302,94,331,237
2024,243,4,28,9,0,233,1,315,113,325,212
2025,145,1,41,6,0,91,0,152,96,208,112
