Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,271,3,53,2,0,207,267,112,297,185
1952,292,12,89,1,0,246,231,92,286,194
1953,268,12,54,5,0,220,276,73,322,249
1954,280,29,73,2,0,218,254,100,319,219
1955,280,25,104,0,0,222,234,115,301,186
1956,290,33,80,1,0,213,246,98,304,206
1957,287,6,45,5,0,217,267,104,317,213
1958,266,12,74,0,0,228,242,102,314,212
1959,256,17,56,5,1,143,271,71,310,239
1960,275,13,54,1,0,228,272,91,313,222
1961,275,16,44,3,0,217,276,80,309,229
1962,304,22,72,0,0,217,243,84,305,221
1963,272,56,93,6,0,204,251,85,336,251
1964,271,21,82,3,0,208,243,96,312,216
1965,299,10,70,0,0,216,242,91,316,225
1966,272,28,61,3,0,222,249,104,303,199
1967,255,7,36,1,0,233,284,49,312,263
1968,264,17,75,2,0,205,245,101,318,217
1969,268,44,103,9,3,179,233,109,328,219
1970,279,32,85,3,0,213,235,104,310,206
1971,268,14,45,3,0,194,271,117,313,196
1972,284,17,55,4,1,176,266,115,294,179
1973,263,6,42,5,0,209,248,102,305,203
1974,280,0,13,2,0,215,302,70,346,276
1975,256,1,40,10,5,165,268,95,318,223
1976,268,18,74,7,2,167,256,119,336,217
1977,279,5,41,0,0,200,270,99,330,231
1978,289,21,65,4,1,220,264,95,314,219
1979,280,29,77,3,0,207,238,78,300,222
1980,290,25,81,0,0,213,240,85,305,220
1981,264,22,70,3,0,232,251,113,313,200
1982,253,19,52,10,3,177,272,66,309,243
1983,264,8,49,8,1,202,270,71,315,244
1984,301,10,60,1,0,186,244,91,318,227
1985,274,38,76,2,0,203,244,87,307,220
1986,285,31,65,4,1,180,260,102,340,238
1987,299,26,76,1,1,227,256,90,336,246
1988,263,3,34,0,0,230,277,114,307,193
1989,260,6,33,2,0,175,288,93,321,228
1990,268,4,18,3,0,198,300,98,333,235
1991,273,13,54,3,2,181,267,110,293,183
1992,247,8,30,4,2,204,289,74,304,230
1993,284,13,58,0,0,208,257,100,290,190
1994,274,9,30,18,10,205,291,80,316,236
1995,257,17,58,12,1,175,261,89,307,218
1996,295,39,102,4,0,175,227,105,318,213
1997,263,15,52,7,2,173,268,110,299,189
1998,274,12,45,2,1,222,290,83,316,233
1999,245,4,39,4,1,208,284,71,316,245
2000,274,7,30,5,0,234,305,101,353,252
2001,277,15,84,3,0,238,249,112,312,200
2002,262,16,63,5,0,211,270,98,280,182
2003,257,15,90,10,0,164,258,102,285,183
2004,288,7,68,3,0,222,268,104,313,209
2005,273,10,75,2,0,207,267,99,319,220
2006,243,14,71,9,1,211,269,95,305,210
2007,266,5,37,2,0,221,298,119,292,173
2008,267,5,47,8,0,217,281,106,304,198
2009,269,14,64,2,0,213,267,89,286,197
2010,284,56,106,10,2,225,249,124,290,166
2011,263,11,68,1,0,195,271,124,286,162
2012,272,22,65,3,0,240,278,107,299,192
2013,269,19,85,7,0,210,261,120,314,194
2014,260,15,43,3,0,193,301,122,323,201
2015,288,1,40,8,0,213,284,117,324,207
2016,249,11,73,5,0,227,267,115,307,192
2017,260,7,48,0,0,238,275,128,310,182
2018,229,7,63,19,0,164,265,91,300,209
2019,258,3,49,13,1,219,301,124,279,155
2020,270,0,31,14,0,202,302,135,331,196
2021,258,10,71,4,0,225,270,116,325,209
2022,256,7,45,11,0,190,288,92,321,229
2023,244,3,51,9,0,237,292,95,325,230
2024,240,5,34,6,0,220,312,113,307,194
