Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,275,0,46,2,0,212,271,111,282,171
1952,283,8,84,6,1,222,237,95,285,190
1953,277,13,63,3,0,189,282,130,321,191
1954,298,17,68,0,0,213,270,127,319,192
1955,277,17,95,0,0,209,243,114,301,187
1956,298,30,86,0,0,220,255,112,304,192
1957,293,5,50,8,1,204,282,127,318,191
1958,272,5,77,0,0,230,253,112,314,202
1959,257,7,67,5,1,149,281,124,280,156
1960,288,12,58,1,0,210,281,123,288,165
1961,284,13,47,4,0,209,288,86,308,222
1962,306,20,78,0,0,212,244,120,295,175
1963,288,55,97,2,0,188,256,116,301,185
1964,272,17,76,8,0,173,254,97,293,196
1965,305,14,71,0,0,210,253,80,295,215
1966,281,19,63,1,0,214,262,104,301,197
1967,268,8,38,1,0,216,281,115,311,196
1968,270,15,75,2,0,199,243,102,318,216
1969,271,22,93,5,2,201,242,109,310,201
1970,281,23,74,2,0,216,249,99,345,246
1971,272,15,55,3,0,173,278,119,278,159
1972,301,8,52,4,0,168,275,115,292,177
1973,265,3,51,6,0,190,256,111,321,210
1974,287,0,18,1,0,218,302,103,309,206
1975,264,3,42,10,2,178,266,99,325,226
1976,264,10,64,11,0,171,272,119,325,206
1977,276,2,40,1,0,215,285,109,329,220
1978,302,18,63,3,1,202,266,106,311,205
1979,276,22,73,1,0,213,248,126,299,173
1980,281,15,66,0,0,196,267,97,304,207
1981,271,13,72,5,0,221,263,122,311,189
1982,257,9,51,6,1,180,275,104,334,230
1983,271,9,59,9,0,196,274,93,294,201
1984,306,3,50,3,1,200,260,108,318,210
1985,275,37,83,2,0,209,251,115,299,184
1986,288,29,66,3,0,194,266,102,332,230
1987,284,27,79,2,0,212,261,90,308,218
1988,276,0,36,0,0,221,292,116,307,191
1989,266,1,47,3,0,183,290,118,316,198
1990,280,1,31,6,0,200,303,99,309,210
1991,281,15,67,5,0,182,266,113,301,188
1992,250,5,35,7,1,196,292,95,286,191
1993,277,10,63,0,0,192,268,88,290,202
1994,278,5,38,19,1,199,294,108,289,181
1995,267,14,62,15,0,195,272,94,307,213
1996,293,37,93,3,0,170,243,126,318,192
1997,263,13,55,7,0,181,279,112,293,181
1998,269,7,41,6,0,233,294,84,320,236
1999,259,1,40,11,0,213,292,108,315,207
2000,268,3,35,5,0,239,307,100,353,253
2001,257,5,64,6,0,242,270,112,312,200
2002,257,7,47,6,0,211,302,98,280,182
2003,251,9,81,17,1,167,266,102,290,188
2004,277,3,70,6,0,211,265,102,313,211
2005,268,7,64,5,0,208,275,111,321,210
2006,236,7,69,14,0,190,269,104,305,201
2007,259,5,30,4,0,208,312,110,292,182
2008,260,3,52,6,0,215,285,107,302,195
2009,262,10,69,5,0,219,278,89,286,197
2010,272,46,94,13,0,204,251,124,286,162
2011,257,3,60,2,0,183,288,124,315,191
2012,266,15,56,7,0,208,296,137,300,163
2013,271,17,76,11,0,202,263,117,314,197
2014,267,2,29,4,0,205,315,105,328,223
2015,277,0,45,11,0,214,296,117,306,189
2016,244,2,66,10,0,208,275,110,312,202
2017,248,6,53,4,0,226,294,129,310,181
2018,230,8,62,18,0,178,277,95,306,211
2019,245,2,54,19,1,201,303,132,302,170
2020,261,0,39,12,1,201,311,135,331,196
2021,255,9,63,3,0,217,279,127,313,186
2022,242,2,45,21,0,181,304,100,317,217
2023,234,0,44,10,0,228,303,116,321,205
2024,236,5,26,10,0,225,314,113,324,211
