Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,269,6,68,3,0,206,0,270,120,282,162
1952,252,11,93,20,1,196,1,252,95,289,194
1953,250,13,86,15,0,158,1,262,130,282,152
1954,273,26,69,6,0,202,0,273,109,308,199
1955,265,15,109,2,0,171,0,245,115,291,176
1956,275,31,98,4,0,199,1,249,111,282,171
1957,276,10,74,10,2,185,0,279,127,275,148
1958,257,5,78,2,0,204,1,257,107,295,188
1959,242,11,78,14,0,153,0,274,111,280,169
1960,259,12,59,2,0,220,0,280,123,287,164
1961,247,14,59,14,0,180,0,288,86,309,223
1962,266,18,91,10,0,183,0,252,120,302,182
1963,265,51,97,7,0,172,1,252,93,302,209
1964,250,25,85,21,0,156,0,251,78,287,209
1965,293,9,70,3,0,248,1,261,71,294,223
1966,262,11,58,7,0,220,0,270,90,303,213
1967,262,14,66,12,0,200,0,273,115,291,176
1968,270,17,84,3,1,202,1,249,102,294,192
1969,265,33,90,8,0,187,0,249,109,309,200
1970,264,18,91,2,0,214,1,252,93,296,203
1971,256,20,76,16,0,151,0,258,118,289,171
1972,292,19,79,5,0,159,0,262,116,278,162
1973,252,14,108,10,0,173,0,233,111,285,174
1974,263,1,35,7,0,215,0,280,109,289,180
1975,254,1,65,11,0,183,1,253,96,318,222
1976,247,15,75,25,0,171,0,261,120,309,189
1977,272,6,44,2,0,235,0,278,106,330,224
1978,290,21,69,1,0,238,2,262,107,310,203
1979,260,17,63,5,0,251,0,258,108,314,206
1980,282,20,71,4,0,221,0,262,64,306,242
1981,259,16,79,3,0,231,0,251,113,311,198
1982,246,19,58,9,1,192,2,273,103,310,207
1983,258,10,74,19,2,185,1,264,88,295,207
1984,282,2,73,6,0,191,0,253,108,332,224
1985,261,32,96,4,0,169,0,254,123,294,171
1986,276,21,75,7,0,189,1,262,102,306,204
1987,273,25,88,3,0,202,0,253,103,308,205
1988,267,3,60,3,0,223,0,272,115,303,188
1989,249,9,74,10,1,166,1,278,82,313,231
1990,271,2,57,11,0,185,0,290,66,295,229
1991,266,17,81,8,0,157,0,262,114,294,180
1992,249,8,69,14,0,187,1,274,107,286,179
1993,265,15,79,3,0,213,0,272,94,300,206
1994,255,1,48,16,0,214,0,302,108,279,171
1995,274,12,83,11,0,212,1,270,134,294,160
1996,281,20,109,5,0,181,0,237,106,297,191
1997,257,16,86,7,0,177,1,269,113,294,181
1998,258,12,80,14,0,208,1,275,109,311,202
1999,239,11,64,8,0,220,1,270,109,291,182
2000,251,4,50,6,0,234,0,296,98,316,218
2001,253,2,71,14,0,214,1,274,112,312,200
2002,246,11,47,4,0,208,1,310,98,292,194
2003,238,12,97,28,0,150,0,260,100,290,190
2004,263,5,84,13,0,215,0,258,102,312,210
2005,251,15,80,14,0,196,0,263,111,317,206
2006,236,14,87,22,1,203,0,262,119,305,186
2007,242,10,51,9,0,201,0,294,94,292,198
2008,246,2,78,7,0,216,0,281,98,318,220
2009,237,16,79,10,0,192,0,270,88,287,199
2010,253,29,98,15,0,211,0,253,95,293,198
2011,226,6,67,10,0,180,0,291,102,288,186
2012,242,16,63,14,0,209,0,289,107,301,194
2013,253,12,92,15,1,206,1,248,97,314,217
2014,232,1,40,9,0,202,0,312,106,341,235
2015,254,0,72,29,1,184,2,284,97,326,229
2016,247,7,68,13,0,194,0,270,119,308,189
2017,255,12,69,18,0,202,1,277,113,303,190
2018,224,5,64,27,0,158,1,283,91,320,229
2019,240,2,58,28,0,197,0,285,104,313,209
2020,229,2,57,19,0,179,0,298,132,324,192
2021,255,7,72,6,0,207,0,273,112,312,200
2022,228,7,65,37,0,180,1,291,93,336,243
2023,225,0,52,27,0,205,0,302,110,325,215
2024,239,7,42,16,0,200,0,311,113,320,207
2025,136,1,49,13,0,82,0,162,96,208,112
