Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,265,0,28,1,0,202,1,283,111,344,233
1952,266,4,66,7,1,208,1,246,94,285,191
1953,267,12,45,3,0,172,1,289,77,327,250
1954,287,16,48,1,0,199,1,279,107,323,216
1955,269,12,83,1,0,191,0,259,114,304,190
1956,296,28,74,0,0,209,0,267,97,304,207
1957,284,6,36,9,1,204,0,291,127,323,196
1958,260,5,61,0,0,214,0,256,102,326,224
1959,240,6,50,4,3,145,0,288,110,327,217
1960,275,10,45,0,0,217,0,286,107,312,205
1961,274,13,37,4,0,208,1,290,86,309,223
1962,299,16,76,0,0,207,0,249,120,317,197
1963,275,46,95,2,0,178,0,258,102,301,199
1964,269,11,71,8,1,184,0,257,97,311,214
1965,293,10,59,0,0,227,0,258,80,308,228
1966,274,12,51,5,0,224,0,268,103,302,199
1967,263,8,36,3,1,220,0,284,113,311,198
1968,271,17,65,3,0,207,0,252,102,318,216
1969,262,16,77,8,1,197,0,251,108,330,222
1970,266,19,62,1,0,219,0,260,98,355,257
1971,267,15,42,1,0,170,0,283,115,287,172
1972,298,8,39,4,1,176,0,284,115,292,177
1973,256,2,42,7,0,188,0,262,103,321,218
1974,277,0,17,3,2,218,0,310,66,309,243
1975,260,3,31,10,3,182,0,280,93,317,224
1976,257,9,58,15,0,178,0,277,119,325,206
1977,277,2,41,1,0,207,0,290,109,329,220
1978,294,11,58,3,1,204,0,269,106,312,206
1979,269,18,71,1,0,215,0,253,108,299,191
1980,274,15,65,2,0,209,0,275,96,304,208
1981,266,10,69,3,0,226,1,267,122,310,188
1982,247,7,46,9,0,184,0,286,104,334,230
1983,261,5,49,11,1,199,0,281,70,295,225
1984,292,0,38,4,1,203,0,275,81,362,281
1985,264,36,81,2,0,212,0,256,115,299,184
1986,278,19,64,6,1,185,0,271,102,332,230
1987,274,23,72,2,1,202,0,265,79,311,232
1988,269,0,25,0,0,242,0,301,114,307,193
1989,251,0,31,7,1,167,0,301,76,320,244
1990,263,0,23,6,1,191,0,309,99,325,226
1991,270,10,58,5,3,168,0,287,110,324,214
1992,248,2,25,9,1,196,0,302,49,360,311
1993,264,7,55,0,0,195,0,278,88,291,203
1994,268,4,30,17,3,197,0,296,108,290,182
1995,262,9,50,16,1,198,0,277,88,307,219
1996,287,24,91,3,0,176,1,249,105,318,213
1997,262,12,44,7,0,177,0,290,112,294,182
1998,266,3,43,8,0,225,0,298,103,320,217
1999,250,1,32,11,0,229,0,298,69,316,247
2000,256,1,30,4,1,237,1,308,96,354,258
2001,251,3,50,9,1,225,0,278,110,312,202
2002,255,3,36,8,1,205,0,314,96,340,244
2003,241,10,61,17,5,155,0,286,100,290,190
2004,268,2,70,5,0,203,0,270,102,313,211
2005,257,7,59,7,1,205,0,278,69,321,252
2006,236,3,61,17,2,196,0,274,100,305,205
2007,252,3,31,4,0,204,0,314,94,292,198
2008,254,2,48,3,0,211,0,288,107,326,219
2009,258,12,59,5,0,219,0,281,89,286,197
2010,265,37,87,13,2,205,0,253,111,286,175
2011,253,2,41,2,0,197,0,305,87,316,229
2012,260,15,37,4,1,218,0,303,107,300,193
2013,265,14,67,10,0,205,0,264,96,319,223
2014,255,1,19,3,1,208,0,319,105,328,223
2015,274,0,32,12,2,207,0,299,96,365,269
2016,244,2,53,13,1,203,0,284,77,315,238
2017,240,4,45,5,0,215,0,298,116,310,194
2018,227,4,49,13,1,164,0,284,95,307,212
2019,244,2,33,17,4,201,0,304,77,302,225
2020,244,0,25,15,3,197,0,313,105,333,228
2021,248,6,49,3,2,206,0,283,104,314,210
2022,234,3,29,15,0,178,0,309,99,322,223
2023,230,1,36,9,0,224,1,308,94,331,237
2024,234,3,22,9,0,220,0,320,113,325,212
2025,138,1,33,7,0,87,0,157,76,208,132
