Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,305,3,82,2,0,215,2,243,120,280,160
1952,295,23,114,13,0,205,1,230,142,285,143
1953,293,23,103,0,0,169,2,235,131,278,147
1954,309,25,98,0,0,212,0,242,118,308,190
1955,298,19,126,1,0,194,1,223,140,290,150
1956,322,37,121,0,0,224,1,231,141,282,141
1957,312,11,97,8,0,195,1,251,128,273,145
1958,299,14,103,1,0,224,1,231,119,294,175
1959,285,12,108,3,0,164,0,245,123,273,150
1960,311,17,91,0,0,230,0,257,123,287,164
1961,295,15,88,1,0,189,0,264,149,290,141
1962,309,24,119,3,0,196,0,221,154,294,140
1963,302,54,120,1,0,176,2,236,124,287,163
1964,287,32,103,12,0,168,1,227,98,287,189
1965,324,19,102,1,0,243,1,235,140,290,150
1966,300,15,81,2,0,233,0,250,94,303,209
1967,296,17,93,2,0,201,0,240,123,290,167
1968,308,29,109,2,1,217,1,229,140,293,153
1969,303,45,110,2,0,201,1,233,109,304,195
1970,297,28,108,0,0,230,1,221,121,290,169
1971,297,23,112,3,0,177,0,230,119,258,139
1972,329,15,100,1,0,176,0,233,116,268,152
1973,284,16,129,1,0,207,1,212,131,285,154
1974,303,1,64,2,0,238,0,236,116,289,173
1975,289,6,97,3,0,189,0,218,100,284,184
1976,287,21,98,12,0,167,2,231,122,308,186
1977,301,8,73,1,0,211,0,256,110,322,212
1978,312,26,102,0,0,208,2,242,131,292,161
1979,286,18,96,0,0,215,2,230,127,292,165
1980,314,27,99,1,0,196,0,231,112,293,181
1981,304,17,107,0,0,220,0,230,122,294,172
1982,277,10,99,2,0,188,2,241,127,303,176
1983,278,15,98,10,0,196,3,239,103,294,191
1984,310,7,117,5,0,193,0,221,129,307,178
1985,297,40,121,4,0,194,0,223,123,289,166
1986,297,31,95,1,0,195,2,238,103,300,197
1987,293,34,102,1,0,202,0,241,111,308,197
1988,294,7,75,1,0,217,0,258,116,303,187
1989,280,4,80,3,0,168,1,259,120,311,191
1990,294,9,67,7,0,184,1,264,93,295,202
1991,287,18,97,5,0,172,2,240,125,293,168
1992,273,10,78,9,0,185,1,250,111,286,175
1993,294,20,89,1,0,213,1,249,98,300,202
1994,280,6,58,5,0,214,2,272,108,277,169
1995,290,20,96,4,0,209,2,248,134,294,160
1996,308,37,120,1,0,195,1,226,106,298,192
1997,286,17,94,0,0,176,2,241,113,295,182
1998,284,19,86,8,0,212,1,253,109,291,182
1999,280,17,75,1,0,208,1,247,109,289,180
2000,272,4,59,4,0,231,1,274,98,281,183
2001,281,12,86,7,0,229,1,249,112,305,193
2002,272,14,51,3,0,202,2,290,98,292,194
2003,256,19,107,23,0,158,0,233,109,289,180
2004,293,24,103,6,0,212,1,238,144,312,168
2005,278,32,108,10,0,199,0,248,131,290,159
2006,270,20,103,11,0,208,0,246,119,305,186
2007,271,8,69,4,0,207,1,268,108,292,184
2008,269,8,99,3,0,202,0,256,98,291,193
2009,263,23,86,4,0,198,0,246,88,287,199
2010,287,51,109,10,0,221,1,237,111,293,182
2011,261,13,82,7,0,174,0,268,123,287,164
2012,263,19,79,9,0,198,1,266,107,289,182
2013,273,25,106,11,0,203,1,231,97,303,206
2014,272,3,54,5,0,197,2,287,106,310,204
2015,277,5,87,23,0,169,1,272,97,324,227
2016,261,5,86,10,0,192,1,250,119,307,188
2017,269,18,82,11,0,196,1,259,113,303,190
2018,234,13,81,14,0,168,0,266,95,319,224
2019,267,8,81,13,0,183,0,264,126,312,186
2020,255,2,73,14,0,175,2,276,132,287,155
2021,267,9,103,3,0,206,0,251,127,296,169
2022,239,10,75,16,0,174,2,278,107,309,202
2023,238,7,67,15,0,204,0,286,109,288,179
2024,260,8,56,14,0,202,1,285,116,320,204
