Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,279,4,70,4,0,193,253,120,280,160
1952,283,16,93,8,0,211,226,93,285,192
1953,274,15,83,6,0,155,260,130,283,153
1954,287,25,72,5,0,204,245,117,299,182
1955,283,22,108,1,0,202,226,115,291,176
1956,295,37,90,0,0,213,240,102,304,202
1957,293,8,60,9,0,198,268,128,318,190
1958,274,13,78,0,0,210,244,113,315,202
1959,256,9,79,7,0,151,257,110,278,168
1960,286,14,63,1,0,228,272,123,312,189
1961,281,18,52,7,0,219,278,80,308,228
1962,298,26,85,0,0,209,229,84,295,211
1963,272,62,100,5,0,187,249,116,300,184
1964,270,26,80,14,1,159,243,97,299,202
1965,307,16,76,0,0,245,238,91,294,203
1966,277,15,58,3,0,218,259,103,303,200
1967,265,11,52,6,0,215,272,123,311,188
1968,271,23,80,2,0,199,233,103,315,212
1969,274,36,96,8,2,194,230,109,309,200
1970,275,32,81,2,0,229,233,99,328,229
1971,271,21,66,6,0,164,253,119,278,159
1972,299,14,73,6,0,156,262,115,277,162
1973,259,13,68,10,0,178,226,111,285,174
1974,288,0,25,3,0,205,281,106,310,204
1975,253,4,48,12,0,163,249,100,316,216
1976,264,17,67,16,1,161,251,119,324,205
1977,286,2,50,1,0,198,267,109,330,221
1978,311,21,81,1,0,201,250,131,312,181
1979,291,23,93,4,0,206,228,126,296,170
1980,300,24,85,0,0,214,236,143,305,162
1981,283,26,95,4,0,240,238,122,289,167
1982,261,17,79,8,0,171,247,121,309,188
1983,270,17,78,10,0,207,255,93,295,202
1984,302,7,78,3,0,204,236,119,301,182
1985,284,44,97,1,0,230,232,117,296,179
1986,291,35,73,3,0,194,247,103,302,199
1987,298,41,92,1,0,214,244,103,308,205
1988,280,2,58,1,0,210,255,116,303,187
1989,268,7,63,6,0,178,268,107,315,208
1990,281,5,40,9,0,199,276,107,295,188
1991,281,21,81,5,0,181,245,113,293,180
1992,263,12,55,6,0,196,251,111,286,175
1993,280,22,78,0,0,194,243,98,290,192
1994,273,8,47,16,0,202,274,108,278,170
1995,275,24,82,15,0,198,251,110,294,184
1996,297,44,105,2,0,172,225,126,318,192
1997,270,16,70,6,0,181,258,113,293,180
1998,281,16,66,7,0,224,271,104,315,211
1999,264,8,53,4,0,212,263,109,288,179
2000,264,6,48,5,0,214,293,101,325,224
2001,270,10,79,9,0,237,254,112,312,200
2002,267,16,57,6,0,224,288,101,308,207
2003,253,17,95,19,0,175,247,102,287,185
2004,284,8,85,7,0,219,247,102,312,210
2005,276,17,81,7,0,232,259,111,321,210
2006,249,18,80,16,0,193,256,104,304,200
2007,265,12,42,3,0,210,288,110,292,182
2009,265,21,82,6,0,216,257,89,286,197
2010,279,55,102,10,1,217,243,112,286,174
2011,259,11,81,3,0,177,265,124,287,163
2012,272,20,65,6,0,200,272,137,300,163
2013,265,23,90,12,0,197,244,97,315,218
2014,278,4,55,4,0,222,289,106,325,219
2015,282,0,62,16,1,211,270,118,284,166
2016,246,7,78,11,0,235,258,119,312,193
2017,266,12,74,5,0,229,268,119,310,191
2018,236,12,73,26,0,173,261,121,272,151
2019,260,4,60,16,0,200,275,124,302,178
2020,266,0,51,9,0,208,282,133,309,176
2021,262,11,83,3,0,230,260,127,282,155
2022,252,8,62,18,0,192,281,107,316,209
2023,248,2,54,5,0,231,287,122,290,168
2024,246,6,45,10,0,231,301,113,307,194
2025,147,3,58,5,0,101,139,98,198,100
