Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,273,10,83,3,0,192,254,112,280,168
1952,283,16,115,4,0,203,222,140,286,146
1953,262,15,84,8,0,175,268,127,283,156
1954,271,34,95,6,0,213,245,118,314,196
1955,277,31,112,1,0,191,228,142,303,161
1956,286,38,97,0,0,207,236,114,289,175
1957,286,11,69,7,0,185,257,128,274,146
1958,265,9,82,1,0,217,227,103,332,229
1959,257,21,83,10,0,132,257,110,273,163
1960,274,18,72,1,0,192,261,119,313,194
1961,274,19,56,6,0,197,271,80,314,234
1962,300,28,90,1,0,184,230,87,296,209
1963,264,63,111,6,0,155,252,116,288,172
1964,267,29,96,13,1,158,233,97,274,177
1965,296,18,91,0,0,208,232,90,292,202
1966,272,29,69,6,0,205,246,104,302,198
1967,260,9,59,3,0,200,264,123,291,168
1968,273,28,86,5,0,185,235,104,293,189
1969,272,47,112,17,1,173,227,110,309,199
1970,279,37,92,3,0,202,228,103,287,184
1971,271,17,85,11,0,155,249,122,259,137
1972,296,19,79,5,0,142,246,115,275,160
1973,264,8,78,8,0,170,228,114,285,171
1974,279,0,45,4,1,188,278,116,286,170
1975,255,6,57,15,0,136,247,100,284,184
1976,268,21,93,10,0,155,235,119,309,190
1977,280,10,60,3,0,183,265,109,291,182
1978,299,25,86,6,0,177,256,131,299,168
1979,276,31,94,7,0,184,235,123,295,172
1980,295,26,100,2,0,187,235,143,284,141
1981,271,24,88,6,0,215,249,113,287,174
1982,245,16,73,17,0,140,252,108,309,201
1983,262,17,71,18,1,188,258,93,273,180
1984,301,13,92,3,0,180,234,117,301,184
1985,271,41,93,3,0,203,234,117,293,176
1986,289,36,72,11,0,192,254,103,331,228
1987,298,40,87,1,0,210,247,90,303,213
1988,264,4,70,2,0,187,257,117,299,182
1989,261,9,61,10,0,162,280,107,315,208
1990,274,5,42,10,0,178,286,107,294,187
1991,276,16,81,7,0,161,250,117,293,176
1992,253,12,59,15,0,169,260,111,285,174
1993,276,18,82,2,0,180,249,101,290,189
1994,265,11,54,21,1,175,278,99,278,179
1995,263,21,87,21,0,167,251,103,294,191
1996,293,46,122,4,0,147,223,126,319,193
1997,256,15,86,9,0,158,245,112,293,181
1998,266,18,72,7,0,187,273,104,291,187
1999,251,9,66,4,0,176,270,109,288,179
2000,257,8,48,5,0,179,284,101,353,252
2001,262,15,83,9,0,211,244,109,312,203
2002,251,17,68,7,0,186,267,101,280,179
2003,246,20,99,23,0,139,241,102,286,184
2004,276,14,78,6,0,178,256,102,283,181
2005,269,15,84,11,0,170,261,112,321,209
2006,233,18,81,22,1,174,266,100,305,205
2007,249,8,44,12,0,191,297,119,292,173
2009,250,15,70,8,0,187,268,89,292,203
2010,268,56,106,12,2,194,246,124,290,166
2011,240,11,74,6,0,149,272,88,294,206
2012,247,23,69,11,1,184,279,107,300,193
2013,252,21,91,15,1,184,252,97,317,220
2014,249,14,48,11,0,184,305,105,301,196
2015,271,1,55,17,0,178,284,107,306,199
2016,228,9,74,16,0,177,271,119,307,188
2017,240,11,60,6,0,201,277,119,316,197
2018,218,9,68,31,2,144,267,95,320,225
2019,239,4,47,23,1,174,292,99,279,180
2020,245,0,34,16,1,169,300,91,324,233
2021,247,14,70,8,0,164,270,116,282,166
2022,237,10,58,24,0,154,284,106,321,215
2023,228,4,48,16,0,195,292,96,290,194
2024,222,6,34,23,0,186,307,113,307,194
2025,139,6,47,5,0,73,143,95,197,102
