Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,258,0,36,1,0,184,286,111,283,172
1952,262,3,67,9,1,185,253,94,318,224
1953,261,7,47,4,0,157,288,75,310,235
1954,276,18,46,2,0,186,283,107,323,216
1955,265,3,80,2,0,162,254,114,301,187
1956,286,24,70,1,0,183,272,97,305,208
1957,279,2,41,10,2,178,293,127,321,194
1958,250,3,63,0,0,191,263,101,334,233
1959,232,6,49,13,2,135,288,110,301,191
1960,262,8,38,1,0,205,293,82,312,230
1961,268,12,35,6,0,202,298,80,309,229
1962,292,12,72,1,0,195,255,84,317,233
1963,268,42,92,4,0,185,262,102,336,234
1964,256,8,68,13,0,166,265,96,293,197
1965,283,4,55,0,0,230,266,80,295,215
1966,265,10,43,6,0,221,276,103,302,199
1967,257,7,38,4,1,221,287,114,311,197
1968,257,10,58,4,1,201,254,103,314,211
1969,255,14,67,7,3,183,261,87,330,243
1970,262,18,59,1,0,219,259,98,311,213
1971,259,11,45,6,0,173,288,115,287,172
1972,289,5,40,4,0,162,287,72,292,220
1973,250,2,44,11,0,182,266,103,284,181
1974,270,0,15,3,1,215,314,66,309,243
1975,252,1,33,13,2,175,288,100,317,217
1976,249,10,57,23,1,167,286,119,325,206
1977,269,0,41,1,0,213,295,109,330,221
1978,286,10,48,3,0,196,276,106,313,207
1979,262,20,67,2,0,183,259,108,299,191
1980,271,8,58,3,0,198,283,97,304,207
1981,255,7,65,3,0,217,267,113,311,198
1982,241,7,44,12,0,184,289,104,334,230
1983,255,1,49,12,0,183,280,87,294,207
1984,289,0,38,6,1,205,283,101,362,261
1985,256,34,80,3,0,208,256,115,298,183
1986,266,17,63,5,1,186,273,102,332,230
1987,267,19,70,4,1,207,267,88,333,245
1988,258,0,18,3,0,217,305,104,307,203
1989,245,0,23,8,2,166,302,76,319,243
1990,257,0,18,11,1,170,315,99,325,226
1991,262,9,56,5,3,152,287,114,324,210
1992,244,2,30,10,2,186,302,95,287,192
1993,256,5,58,2,0,181,286,88,290,202
1994,260,2,28,20,4,183,307,108,290,182
1995,252,7,45,22,0,177,282,88,307,219
1996,279,16,89,4,0,164,252,105,318,213
1997,252,11,38,7,3,172,295,110,294,184
1998,257,3,39,8,0,212,302,83,321,238
1999,235,0,31,12,0,204,303,106,316,210
2000,248,0,30,4,1,222,313,96,351,255
2001,246,2,50,11,1,216,282,110,313,203
2002,244,3,34,8,1,196,316,96,313,217
2003,237,8,60,22,4,156,293,100,290,190
2004,255,4,65,6,0,195,273,102,313,211
2005,244,6,55,8,1,198,280,68,321,253
2006,227,3,60,20,4,171,277,100,305,205
2007,237,1,26,4,1,195,318,78,295,217
2008,250,0,51,4,0,192,296,107,326,219
2009,247,9,54,7,0,188,285,89,286,197
2010,255,32,87,14,2,197,257,111,286,175
2011,239,2,41,4,1,166,306,87,317,230
2012,252,13,37,7,1,194,305,107,300,193
2013,254,14,64,12,1,188,270,96,319,223
2014,244,1,22,4,1,196,325,105,328,223
2015,271,0,28,15,2,207,300,96,365,269
2016,240,1,52,14,2,201,289,77,316,239
2017,234,2,44,10,0,219,301,116,310,194
2018,221,3,51,19,1,173,290,95,306,211
2019,233,2,36,18,3,192,307,102,302,200
2020,233,0,26,19,5,196,319,132,309,177
2021,246,4,51,3,2,207,287,122,314,192
2022,229,3,35,23,0,168,313,99,322,223
2023,227,0,36,14,0,217,312,115,331,216
2024,232,4,23,11,1,227,325,113,325,212
