Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,281,9,81,2,0,160,0,245,112,279,167
1952,297,13,107,1,0,188,0,220,93,294,201
1953,274,13,91,3,0,176,0,261,131,320,189
1954,288,29,102,1,0,184,1,234,118,319,201
1955,282,27,112,0,0,172,0,224,115,301,186
1956,309,34,89,0,0,163,0,219,112,304,192
1957,291,10,65,3,0,164,0,252,128,317,189
1958,288,18,93,0,0,199,0,222,113,313,200
1959,271,22,68,2,0,118,0,256,114,278,164
1960,286,18,76,0,0,198,1,245,108,312,204
1961,291,17,61,1,0,163,0,259,100,308,208
1962,321,23,80,0,0,189,0,228,120,318,198
1963,280,64,106,3,0,161,0,235,115,335,220
1964,280,22,95,4,0,147,0,230,97,299,202
1965,311,18,99,0,0,183,0,226,94,294,200
1966,289,28,78,1,0,181,0,226,105,303,198
1967,274,8,58,0,0,181,0,255,112,311,199
1968,286,22,75,2,0,163,0,238,101,318,217
1969,282,52,120,6,0,146,0,219,110,309,199
1970,291,43,105,0,0,184,0,225,104,296,192
1971,288,17,68,2,0,162,0,238,120,303,183
1972,300,22,69,0,0,135,0,244,115,295,180
1973,279,7,61,3,0,189,0,226,103,285,182
1974,298,0,39,1,0,186,0,273,107,324,217
1975,277,4,54,4,0,149,0,250,101,318,217
1976,285,26,88,1,0,148,0,237,119,325,206
1977,299,9,64,0,0,169,0,243,109,331,222
1978,310,24,78,1,0,181,0,231,131,315,184
1979,303,42,94,1,0,192,1,215,107,298,191
1980,307,28,108,0,0,206,0,222,112,305,193
1981,292,26,79,0,0,226,0,238,114,319,205
1982,283,23,68,5,0,160,0,241,103,309,206
1983,280,11,61,2,0,186,0,248,93,302,209
1984,307,13,86,0,0,174,1,230,108,316,208
1985,292,47,95,1,0,211,0,223,87,296,209
1986,304,34,81,2,0,193,0,236,103,306,203
1987,315,36,94,0,0,198,0,242,103,303,200
1988,287,5,54,0,0,203,0,243,117,299,182
1989,284,7,44,1,0,161,0,274,93,320,227
1990,285,2,30,1,0,175,0,279,99,314,215
1991,279,16,60,2,0,133,0,247,110,298,188
1992,261,9,42,5,0,148,0,259,108,286,178
1993,303,17,71,0,0,167,0,234,101,291,190
1994,295,11,41,7,1,169,0,268,97,291,194
1995,281,23,79,2,0,156,0,234,89,310,221
1996,301,52,122,2,0,128,0,216,102,319,217
1997,275,20,76,3,0,135,0,242,115,298,183
1998,293,14,54,1,0,198,0,268,84,321,237
1999,261,7,52,3,0,177,0,263,109,315,206
2000,293,6,35,4,0,191,0,279,99,354,255
2001,286,13,75,3,0,186,0,235,109,313,204
2002,264,15,65,3,0,163,0,254,98,307,209
2003,258,20,80,3,0,143,0,248,98,290,192
2004,288,12,66,0,0,180,0,259,86,318,232
2005,272,9,75,2,0,168,0,250,110,320,210
2006,251,18,67,6,2,205,0,263,82,361,279
2007,273,5,29,1,0,213,0,289,110,294,184
2008,266,3,39,4,0,212,0,274,99,325,226
2009,270,14,68,2,0,196,0,256,109,307,198
2010,288,56,107,9,3,218,0,244,82,290,208
2011,266,17,64,1,0,186,1,261,88,315,227
2012,273,24,65,1,0,216,0,260,98,299,201
2013,270,24,81,4,0,192,0,252,97,318,221
2014,265,18,39,0,0,199,0,290,70,331,261
2015,292,2,36,4,0,207,0,274,96,326,230
2016,244,10,63,6,0,206,0,260,76,312,236
2017,259,7,53,0,0,231,0,263,116,335,219
2018,236,11,64,6,2,167,0,255,91,320,229
2019,260,7,37,7,0,204,0,291,124,302,178
2020,264,0,22,4,0,192,0,295,90,331,241
2021,250,15,61,3,0,204,1,259,116,332,216
2022,258,9,50,6,0,178,0,276,106,321,215
2023,245,5,52,4,0,216,0,279,95,325,230
2024,239,2,32,10,0,215,0,300,111,325,214
