Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,249,3,41,9,0,182,0,278,88,330,242
1952,246,14,77,17,7,195,1,244,93,291,198
1953,243,8,71,12,0,151,0,269,75,312,237
1954,263,23,60,6,0,197,0,274,109,322,213
1955,260,11,101,2,0,172,0,247,114,291,177
1956,264,31,89,1,0,204,0,257,111,305,194
1957,268,8,57,11,2,167,0,280,104,325,221
1958,242,7,70,6,1,188,0,259,107,334,227
1959,237,5,64,16,1,141,0,279,111,312,201
1960,248,9,42,1,0,205,0,285,117,312,195
1961,247,12,44,7,0,180,0,290,80,309,229
1962,265,13,78,9,0,169,0,249,84,317,233
1963,252,49,96,8,1,166,0,257,93,301,208
1964,242,19,73,22,2,161,0,260,98,299,201
1965,282,5,68,3,1,240,0,259,71,297,226
1966,243,12,42,5,0,204,1,274,88,304,216
1967,256,12,54,14,0,190,0,279,114,312,198
1968,253,12,73,2,0,199,0,255,102,316,214
1969,256,31,72,10,1,175,0,252,109,309,200
1970,244,18,77,5,0,212,1,249,94,328,234
1971,246,19,58,15,0,146,0,263,72,316,244
1972,277,15,59,8,1,167,0,278,116,292,176
1973,244,5,76,11,2,184,0,247,111,297,186
1974,257,0,15,6,0,204,0,301,61,309,248
1975,239,0,44,11,2,173,0,262,100,325,225
1976,242,13,60,24,7,162,2,274,120,325,205
1977,250,6,39,2,0,203,0,285,100,331,231
1978,273,12,61,4,0,222,1,269,107,316,209
1979,246,16,49,5,0,214,0,270,82,314,232
1980,263,14,63,4,0,208,0,269,64,306,242
1981,241,13,71,9,0,239,1,258,76,311,235
1982,231,16,45,16,5,198,1,278,103,319,216
1983,240,8,61,22,5,195,0,272,71,295,224
1984,268,1,47,7,2,202,0,260,82,323,241
1985,239,36,84,5,0,181,0,260,78,298,220
1986,265,23,67,10,2,199,0,261,102,306,204
1987,256,29,80,6,2,209,0,259,88,309,221
1988,253,3,45,7,1,227,0,280,100,303,203
1989,243,6,57,8,2,172,0,286,47,313,266
1990,255,2,46,14,2,191,0,293,99,296,197
1991,256,16,82,14,4,162,0,267,111,299,188
1992,235,10,48,19,5,190,1,287,96,287,191
1993,245,17,67,8,0,203,0,271,88,305,217
1994,240,0,29,23,4,203,1,309,85,334,249
1995,252,9,56,15,1,203,1,274,89,307,218
1996,275,23,88,3,0,181,0,245,106,326,220
1997,249,18,65,11,1,182,0,281,113,295,182
1998,249,12,63,15,1,204,0,284,103,320,217
1999,228,9,54,16,2,210,0,286,76,318,242
2000,240,4,36,7,0,224,0,309,98,352,254
2001,247,3,61,18,1,208,0,273,103,312,209
2002,243,16,42,12,0,202,0,313,85,313,228
2003,224,12,79,36,2,159,0,273,100,290,190
2004,244,8,73,19,1,194,0,265,99,313,214
2005,242,10,74,25,2,195,0,263,72,321,249
2006,223,13,73,22,7,189,0,274,96,305,209
2007,232,7,41,12,3,193,0,299,78,292,214
2008,243,1,62,16,2,201,0,286,98,318,220
2009,219,15,72,14,0,184,0,277,83,287,204
2010,253,32,90,21,2,206,0,255,91,294,203
2011,216,3,56,11,2,171,0,295,80,294,214
2012,238,16,55,17,2,207,0,291,107,301,194
2013,257,12,85,20,2,207,0,246,97,303,206
2014,232,2,38,9,0,207,0,309,105,341,236
2015,250,0,67,32,4,186,0,287,97,325,228
2016,237,6,64,14,0,205,1,270,119,308,189
2017,252,11,69,21,0,208,1,280,113,303,190
2018,219,5,55,34,2,165,0,292,95,303,208
2019,237,4,62,29,1,190,0,284,104,313,209
2020,227,1,52,18,3,181,0,295,105,310,205
2021,246,5,61,11,1,208,0,276,105,297,192
2022,225,7,55,37,0,178,0,292,100,330,230
2023,221,1,53,30,0,199,0,300,95,288,193
2024,228,7,41,22,0,194,0,311,113,325,212
