Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,257,0,23,1,0,288,111,345,234
1952,261,2,50,9,1,252,91,285,194
1953,255,7,51,5,0,290,78,328,250
1954,270,15,48,5,0,290,107,323,216
1955,261,3,75,3,0,259,114,304,190
1956,281,23,73,1,0,274,98,305,207
1957,274,2,41,12,4,295,126,321,195
1958,250,3,58,1,0,271,99,334,235
1959,230,4,48,10,2,292,110,301,191
1960,258,9,36,1,0,300,67,312,245
1961,256,10,32,9,0,302,80,309,229
1962,281,9,66,1,0,260,84,320,236
1963,256,36,90,4,0,266,94,336,242
1964,252,7,62,14,1,267,96,311,215
1965,278,4,48,0,0,276,69,308,239
1966,250,11,39,6,0,288,103,304,201
1967,251,6,32,5,0,300,114,311,197
1968,242,5,54,4,0,265,103,318,215
1969,247,13,62,10,1,263,86,330,244
1970,250,14,56,1,0,270,98,355,257
1971,242,9,42,5,0,292,86,287,201
1972,275,5,31,5,0,296,72,292,220
1973,241,3,36,13,1,274,102,321,219
1974,255,0,14,3,0,327,61,288,227
1975,247,1,24,13,4,298,94,317,223
1976,237,6,42,24,6,297,83,325,242
1977,259,2,28,2,0,301,98,330,232
1978,273,5,47,4,1,282,65,313,248
1979,248,16,56,3,0,272,82,317,235
1980,262,6,41,3,0,287,80,306,226
1981,247,7,53,4,1,272,113,311,198
1982,232,7,35,10,2,290,103,334,231
1983,252,1,45,13,1,290,70,302,232
1984,282,0,28,6,1,291,80,364,284
1985,244,28,70,2,0,263,79,302,223
1986,259,16,54,8,2,279,102,334,232
1987,258,15,59,3,3,270,78,339,261
1988,242,0,11,1,1,311,100,308,208
1989,238,0,23,8,2,308,76,326,250
1990,251,0,14,7,2,323,99,334,235
1991,257,8,46,6,4,294,110,325,215
1992,239,0,26,9,1,313,49,360,311
1993,245,4,51,1,0,292,88,303,215
1994,248,1,19,21,12,323,53,348,295
1995,247,8,31,18,4,290,88,308,220
1996,273,15,62,5,1,259,92,332,240
1997,237,11,32,7,4,303,96,295,199
1998,248,2,28,9,2,303,83,323,240
1999,220,0,22,8,2,309,69,318,249
2000,232,1,14,6,1,322,51,351,300
2001,235,0,36,11,7,288,103,313,210
2002,228,0,26,9,3,322,83,341,258
2003,224,6,43,24,9,302,98,291,193
2004,234,2,42,8,2,287,102,316,214
2005,225,2,43,9,3,293,68,322,254
2006,214,3,45,21,10,285,95,357,262
2007,219,0,19,5,1,324,38,348,310
2008,251,0,46,4,0,294,107,302,195
2009,235,7,45,8,0,293,89,286,197
2010,249,24,80,15,4,259,111,297,186
2011,223,2,33,4,0,312,79,318,239
2012,244,11,34,9,2,310,107,300,193
2013,245,10,61,13,4,271,96,319,223
2014,229,1,10,7,0,328,84,328,244
2015,256,0,24,17,4,309,,,
2016,229,1,43,14,1,297,77,318,241
2017,231,2,24,14,0,306,109,335,226
2018,214,3,40,25,3,298,83,321,238
2019,229,3,26,21,6,310,77,303,226
2020,223,0,13,19,6,328,94,333,239
2021,244,4,35,4,2,294,104,314,210
2022,221,5,23,25,0,314,65,342,277
2023,221,0,30,18,1,317,95,331,236
2024,221,1,22,13,1,326,26,325,299
