Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,256,4,53,7,0,135,276,109,279,170
1952,262,11,88,10,2,165,232,93,318,225
1953,242,10,65,10,0,139,274,127,320,193
1954,255,32,73,6,0,174,257,112,320,208
1955,269,24,91,1,0,171,238,111,304,193
1956,270,40,77,1,0,185,243,98,304,206
1957,272,9,50,12,3,164,271,104,323,219
1958,244,8,74,3,0,179,243,103,332,229
1959,243,15,59,9,0,109,270,72,278,206
1960,262,17,63,4,0,169,271,97,313,216
1961,253,20,45,11,0,166,282,80,323,243
1962,275,25,81,3,0,172,245,84,306,222
1963,255,62,97,8,1,157,257,82,302,220
1964,252,30,75,18,3,151,238,78,312,234
1965,278,21,70,1,0,182,243,81,294,213
1966,257,24,59,7,0,186,264,104,303,199
1967,256,12,53,5,0,187,267,114,311,197
1968,271,33,88,5,0,179,240,104,293,189
1969,273,46,118,14,1,165,228,109,309,200
1970,274,36,86,2,0,201,231,97,311,214
1971,269,20,71,13,1,148,249,87,278,191
1972,287,18,77,8,0,129,257,115,277,162
1973,254,9,77,10,0,171,232,112,285,173
1974,278,0,34,5,0,172,284,115,309,194
1975,245,9,57,12,0,134,256,100,283,183
1976,265,26,80,14,0,128,240,119,309,190
1977,276,7,56,1,0,166,267,109,330,221
1978,294,23,78,3,0,158,261,130,305,175
1979,271,26,92,3,0,167,233,107,295,188
1980,292,31,90,2,0,177,237,125,284,159
1981,268,28,88,4,0,206,249,114,311,197
1982,240,16,67,6,0,137,256,104,298,194
1983,261,18,67,14,0,174,263,93,296,203
1984,292,10,81,3,0,177,240,119,316,197
1985,261,46,93,2,0,189,237,115,293,178
1986,286,39,76,8,0,173,254,103,302,199
1987,283,46,93,1,0,193,248,89,303,214
1988,258,6,59,4,1,204,259,116,304,188
1989,253,9,57,6,0,151,280,92,316,224
1990,267,4,48,9,0,173,282,99,294,195
1991,255,19,81,7,0,159,251,111,293,182
1992,250,13,61,13,0,178,258,111,286,175
1993,267,25,83,2,0,191,251,101,290,189
1994,260,10,48,20,1,178,281,99,279,180
1995,261,25,84,14,0,176,252,103,294,191
1996,286,50,119,3,0,180,222,105,327,222
1997,251,15,74,9,0,177,251,112,289,177
1998,263,18,65,8,0,200,279,104,291,187
1999,245,6,63,3,0,174,272,109,289,180
2000,254,7,46,7,0,192,292,101,321,220
2001,265,12,81,8,0,207,253,109,312,203
2002,251,17,67,8,0,177,276,101,284,183
2003,243,20,103,23,1,140,241,102,286,184
2004,266,12,80,3,0,178,260,102,285,183
2005,263,19,84,10,0,182,260,112,291,179
2006,238,16,79,20,0,178,263,100,305,205
2007,256,10,49,7,0,190,292,111,294,183
2009,253,17,80,4,0,194,264,89,291,202
2010,271,60,108,11,1,191,247,113,286,173
2011,242,12,84,4,0,159,265,124,287,163
2012,246,24,68,9,0,167,277,107,301,194
2013,255,25,99,13,1,180,249,97,275,178
2014,252,12,56,9,0,168,301,108,310,202
2015,265,1,64,22,0,172,279,112,283,171
2016,234,9,72,19,0,176,266,115,312,197
2017,245,13,63,10,0,194,277,119,332,213
2018,221,11,72,37,3,135,263,95,319,224
2019,242,6,58,27,0,148,287,105,302,197
2020,246,0,45,15,1,156,290,132,324,192
2021,250,13,74,7,0,179,264,116,282,166
2022,237,10,61,21,1,152,281,106,316,210
2023,231,7,56,13,0,193,290,96,290,194
2024,222,6,44,20,0,174,302,113,307,194
2025,141,4,50,8,0,71,141,96,197,101
