Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,275,10,75,5,0,140,0,255,131,279,148
1952,276,22,104,9,0,171,0,221,96,286,190
1953,258,20,94,6,0,136,0,263,129,283,154
1954,279,33,94,5,0,156,0,243,134,282,148
1955,281,35,109,1,0,167,0,227,115,291,176
1956,294,45,100,0,0,186,0,233,113,281,168
1957,285,10,76,8,0,139,0,261,128,318,190
1958,276,12,86,3,0,182,0,234,114,302,188
1959,272,18,99,6,0,124,0,254,114,260,146
1960,292,20,84,1,0,211,0,253,123,288,165
1961,287,21,64,9,0,204,0,264,86,309,223
1962,298,33,104,1,0,181,0,220,120,294,174
1963,277,72,114,5,0,165,0,240,116,288,172
1964,270,36,95,14,0,134,0,234,88,288,200
1965,308,26,99,0,0,197,0,227,140,282,142
1966,285,24,76,3,0,195,0,249,104,303,199
1967,268,13,80,6,0,184,0,253,123,291,168
1968,278,34,107,2,0,189,0,230,106,293,187
1969,279,45,125,8,0,184,0,225,110,309,199
1970,276,36,98,2,0,189,0,227,97,288,191
1971,275,18,93,12,0,151,1,242,120,277,157
1972,302,24,95,7,0,141,0,247,116,275,159
1973,269,12,104,8,0,148,0,222,115,285,170
1974,290,1,52,4,0,168,0,263,117,310,193
1975,262,9,70,8,0,133,0,246,143,283,140
1976,268,27,99,10,0,133,0,232,121,305,184
1977,284,10,71,2,0,150,0,267,117,330,213
1978,306,25,92,4,0,147,0,249,131,291,160
1979,278,24,101,3,0,162,1,229,130,274,144
1980,294,30,98,3,0,187,0,235,143,284,141
1981,280,28,101,1,0,196,1,244,122,297,175
1982,249,20,83,8,0,150,0,247,112,309,197
1983,268,21,85,12,0,181,1,251,93,294,201
1984,297,13,100,3,0,186,1,230,119,301,182
1985,271,47,108,2,0,173,0,228,123,293,170
1986,286,40,81,5,0,170,0,245,103,302,199
1987,284,47,99,1,0,187,0,242,90,272,182
1988,265,5,81,3,0,176,0,253,117,303,186
1989,261,7,73,5,0,155,0,268,107,276,169
1990,275,10,58,8,0,143,0,276,99,294,195
1991,281,25,99,6,0,137,0,241,114,293,179
1992,264,17,71,10,0,163,0,247,111,284,173
1993,274,34,90,1,0,161,1,241,101,290,189
1994,268,10,61,20,0,166,1,263,108,278,170
1995,274,29,94,11,0,177,0,247,103,294,191
1996,294,54,125,3,0,174,0,220,106,298,192
1997,264,17,88,5,0,159,0,242,113,293,180
1998,276,23,75,9,0,190,0,265,104,311,207
1999,257,14,64,4,0,207,0,258,109,288,179
2000,265,8,53,5,0,192,0,281,101,321,220
2001,274,19,84,8,0,217,0,248,109,312,203
2002,265,17,73,8,0,192,0,271,101,304,203
2003,255,24,105,22,0,163,0,233,103,285,182
2004,282,10,90,2,0,199,0,251,105,285,180
2005,271,23,92,9,0,186,0,254,138,291,153
2006,253,27,93,18,0,173,0,251,104,304,200
2007,265,13,60,7,0,191,1,280,111,300,189
2008,262,8,79,11,0,176,0,262,107,262,155
2009,266,25,91,5,0,189,0,258,90,286,196
2010,280,60,113,11,1,186,0,238,124,283,159
2011,253,17,91,4,0,152,0,259,124,286,162
2012,257,22,76,11,0,173,0,270,107,300,193
2013,263,33,109,14,0,178,0,241,97,274,177
2014,272,10,73,8,0,177,0,287,123,301,178
2015,272,6,82,21,0,163,0,266,118,274,156
2016,244,12,81,15,0,184,0,257,119,312,193
2017,262,16,73,8,0,182,0,269,117,316,199
2018,236,15,84,27,0,152,0,258,95,318,223
2019,249,6,79,22,0,166,0,269,134,302,168
2020,264,1,78,12,0,144,0,276,132,308,176
2021,257,13,99,4,0,186,0,257,127,282,155
2022,248,10,78,18,0,153,0,273,109,284,175
2023,244,5,60,11,0,195,0,282,115,289,174
2024,231,8,57,21,0,168,0,291,113,307,194
2025,146,5,59,8,0,83,0,149,97,208,111
