Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,257,0,27,1,0,291,111,345,234
1952,260,3,59,7,1,253,92,318,226
1953,257,7,40,3,0,290,74,328,254
1954,274,16,45,3,0,289,107,324,217
1955,262,6,76,2,0,262,114,304,190
1956,286,25,72,0,0,271,97,304,207
1957,277,4,30,10,4,296,126,324,198
1958,248,3,58,0,0,265,102,335,233
1959,229,5,47,8,3,295,109,327,218
1960,259,8,38,1,0,297,68,312,244
1961,262,11,32,6,0,298,80,309,229
1962,290,12,68,1,0,257,84,317,233
1963,259,43,88,4,1,262,82,336,254
1964,253,9,63,11,1,264,96,311,215
1965,277,8,49,0,0,266,80,308,228
1966,257,11,47,6,0,277,103,302,199
1967,254,6,31,4,1,293,113,311,198
1968,246,10,54,3,0,267,102,318,216
1969,249,15,65,11,3,259,86,330,244
1970,254,17,54,1,0,268,98,355,257
1971,249,12,38,4,0,295,86,287,201
1972,283,5,33,4,2,295,115,292,177
1973,251,2,34,11,3,268,102,321,219
1974,268,0,14,3,2,319,66,309,243
1975,252,1,24,10,3,290,89,326,237
1976,244,9,54,19,2,286,119,325,206
1977,265,1,35,1,0,298,99,329,230
1978,279,9,52,3,0,278,106,313,207
1979,257,19,62,3,0,261,82,316,234
1980,263,10,60,3,0,280,96,304,208
1981,253,8,62,5,0,269,113,311,198
1982,239,7,35,14,0,290,103,334,231
1983,252,2,46,13,2,288,87,296,209
1984,284,0,33,7,1,288,81,362,281
1985,253,33,75,3,0,262,115,299,184
1986,266,16,59,7,1,273,102,333,231
1987,263,20,68,4,1,266,79,336,257
1988,257,0,18,2,0,309,114,307,193
1989,243,0,20,11,2,306,76,326,250
1990,257,0,20,11,2,318,99,325,226
1991,259,10,52,12,4,293,110,324,214
1992,243,2,25,11,2,307,49,360,311
1993,253,5,52,1,0,285,88,290,202
1994,263,3,28,21,4,303,108,290,182
1995,255,9,48,21,1,284,88,307,219
1996,280,19,88,4,0,251,104,318,214
1997,255,12,40,8,3,297,112,294,182
1998,261,3,38,8,0,305,83,321,238
1999,241,1,32,12,0,302,69,316,247
2000,252,0,28,4,1,312,96,354,258
2001,248,2,48,10,1,280,110,312,202
2002,246,3,32,9,0,317,96,340,244
2003,239,9,62,17,4,290,100,290,190
2004,259,2,64,5,0,272,102,313,211
2005,248,5,54,9,1,281,68,321,253
2006,229,3,57,19,4,277,100,305,205
2007,242,2,27,4,0,318,94,292,198
2008,250,1,43,3,0,294,107,326,219
2009,252,10,55,5,0,283,89,286,197
2010,259,35,88,14,2,256,111,286,175
2011,244,2,40,3,1,306,87,317,230
2012,254,14,38,6,1,304,107,300,193
2013,263,14,67,10,1,267,96,314,218
2014,247,1,20,3,1,322,105,328,223
2015,273,0,32,14,2,301,,,
2016,242,1,51,14,1,292,77,316,239
2017,236,2,42,8,0,300,116,310,194
2018,223,4,49,18,2,286,95,307,212
2019,236,2,32,18,3,306,102,303,201
2020,235,0,19,19,4,319,132,333,201
2021,246,6,48,3,2,287,104,314,210
2022,230,3,30,19,0,313,99,322,223
2023,229,0,35,12,0,309,115,331,216
2024,230,3,21,10,0,323,113,325,212
