Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,271,0,53,2,0,198,0,274,112,282,170
1952,282,3,81,7,0,214,0,237,141,285,144
1953,274,12,64,4,0,182,0,276,130,321,191
1954,295,16,67,0,0,210,0,271,127,323,196
1955,278,12,96,1,0,202,0,249,142,291,149
1956,297,28,86,0,0,224,0,260,114,281,167
1957,286,6,56,8,1,208,0,283,127,318,191
1958,267,4,76,0,0,225,0,256,112,326,214
1959,257,5,67,5,1,144,0,285,110,278,168
1960,277,11,55,0,0,227,0,281,123,288,165
1961,279,11,47,5,0,223,0,290,98,308,210
1962,303,17,76,0,0,215,0,249,120,295,175
1963,279,49,99,4,0,192,0,257,116,301,185
1964,271,10,75,9,0,175,0,256,97,293,196
1965,304,12,67,0,0,237,0,252,90,295,205
1966,276,12,62,2,0,231,0,267,104,302,198
1967,264,8,42,3,0,230,0,278,115,311,196
1968,267,15,75,3,0,210,0,244,103,318,215
1969,270,20,95,7,0,201,0,246,109,310,201
1970,280,20,75,2,0,237,0,251,99,341,242
1971,272,14,62,3,0,178,0,276,121,277,156
1972,307,8,56,4,0,184,0,272,115,277,162
1973,261,3,60,7,0,194,0,255,103,284,181
1974,288,0,28,3,0,229,0,304,115,309,194
1975,268,3,49,10,0,209,0,265,100,283,183
1976,262,10,67,16,0,202,0,268,119,323,204
1977,278,3,39,1,0,250,0,286,109,329,220
1978,305,14,69,3,0,238,0,262,107,311,204
1979,276,21,77,1,0,224,0,247,126,299,173
1980,283,15,69,1,0,221,0,268,97,304,207
1981,269,12,74,4,0,259,1,264,122,289,167
1982,255,8,54,9,0,196,0,277,104,334,230
1983,264,8,57,10,0,222,0,277,93,294,201
1984,301,2,54,4,1,188,1,264,108,336,228
1985,274,36,86,3,0,206,0,253,115,297,182
1986,284,25,66,4,0,191,0,269,102,332,230
1987,280,26,78,3,0,210,0,264,90,308,218
1988,277,0,37,0,0,209,0,294,116,307,191
1989,258,0,50,6,0,170,0,293,118,316,198
1990,279,0,36,6,0,191,0,306,99,312,213
1991,279,12,72,6,0,174,0,270,114,299,185
1992,250,1,34,7,1,195,0,294,111,286,175
1993,273,8,64,0,0,204,0,269,88,290,202
1994,276,5,35,19,1,200,0,293,108,289,181
1995,264,15,65,15,0,202,0,275,110,307,197
1996,293,33,95,3,0,181,0,243,126,318,192
1997,257,13,55,7,0,182,0,282,112,293,181
1998,270,5,39,6,0,225,0,297,84,320,236
1999,251,2,37,11,0,204,0,294,87,315,228
2000,264,2,35,5,0,220,0,308,100,353,253
2001,255,4,64,6,0,221,0,272,112,312,200
2002,259,5,44,6,0,195,0,304,98,339,241
2003,251,9,82,19,1,155,1,267,102,288,186
2004,277,5,71,6,0,199,0,263,102,313,211
2005,260,10,63,5,0,192,0,274,110,321,211
2006,233,7,71,13,0,185,0,274,100,305,205
2007,259,5,30,5,0,198,1,314,110,292,182
2008,258,2,52,6,0,194,0,289,107,302,195
2009,261,10,64,5,0,201,0,280,90,286,196
2010,271,44,93,12,0,186,0,251,124,284,160
2011,256,2,59,4,0,179,0,295,124,294,170
2012,264,16,52,6,0,221,0,299,107,300,193
2013,266,17,74,11,0,212,0,266,97,318,221
2014,265,1,31,6,0,213,0,319,105,324,219
2015,276,0,43,11,0,207,1,294,117,284,167
2016,243,1,61,14,0,223,0,279,110,312,202
2017,245,5,45,4,0,229,0,296,128,310,182
2018,230,8,61,20,0,177,0,278,95,306,211
2019,247,2,50,19,0,211,0,301,132,302,170
2020,264,0,35,12,1,221,0,313,135,331,196
2021,252,8,58,3,0,232,0,282,115,313,198
2022,241,3,45,21,0,191,0,301,106,317,211
2023,239,1,46,10,0,218,2,303,122,321,199
2024,237,3,28,10,0,204,0,314,113,307,194
2025,145,3,46,6,0,96,0,153,97,208,111
