Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,249,2,51,3,0,284,87,283,196
1952,238,17,83,26,3,254,95,289,194
1953,234,17,79,15,0,264,130,311,181
1954,270,25,66,5,0,281,109,319,210
1955,255,12,102,1,0,253,114,291,177
1956,261,35,92,3,1,257,99,283,184
1957,269,11,63,11,4,283,104,325,221
1958,235,8,71,7,1,258,102,295,193
1959,238,9,66,11,2,280,111,306,195
1960,248,12,51,5,0,284,82,287,205
1961,241,20,60,20,0,293,87,308,221
1962,259,15,95,12,0,252,120,302,182
1963,252,48,99,8,0,257,92,301,209
1964,237,24,91,23,0,260,88,287,199
1965,275,8,79,6,1,268,71,294,223
1966,242,12,59,6,0,285,90,303,213
1967,247,14,69,15,1,280,114,291,177
1968,245,18,69,4,3,264,102,319,217
1969,251,25,76,8,4,263,109,309,200
1970,245,16,77,4,0,258,92,296,204
1971,230,12,64,15,2,271,87,323,236
1972,274,19,55,2,1,279,116,320,204
1973,243,16,74,11,1,244,103,297,194
1974,251,0,18,7,4,302,106,306,200
1975,245,4,51,10,1,277,96,326,230
1976,237,15,58,18,2,272,100,325,225
1977,246,5,40,1,0,290,100,330,230
1978,268,14,52,2,0,279,102,312,210
1979,248,11,50,6,0,273,58,315,257
1980,262,13,64,2,1,269,64,305,241
1981,243,11,62,4,1,268,64,311,247
1982,236,14,46,12,5,286,103,319,216
1983,244,10,62,20,6,274,87,317,230
1984,258,2,51,10,3,275,94,334,240
1985,233,28,69,7,1,274,79,316,237
1986,246,23,68,13,3,274,102,331,229
1987,248,27,73,8,6,264,79,311,232
1988,240,2,39,11,2,286,69,304,235
1989,225,19,58,11,4,292,42,318,276
1990,228,7,41,14,0,301,63,309,246
1991,248,13,58,18,7,275,110,330,220
1992,227,10,40,22,13,298,52,305,253
1993,234,16,50,11,1,282,88,322,234
1994,234,2,27,26,15,319,52,348,296
1995,250,12,49,24,6,292,89,307,218
1996,265,17,74,11,2,257,92,326,234
1997,226,15,47,15,1,294,37,301,264
1998,224,6,52,22,7,299,84,321,237
1999,226,5,40,19,3,295,56,320,264
2000,229,2,20,19,3,320,66,357,291
2001,233,2,51,18,3,286,103,313,210
2002,232,11,32,13,5,320,85,342,257
2003,215,11,60,56,26,289,97,296,199
2004,223,6,63,18,4,271,87,318,231
2005,231,14,60,23,8,271,72,322,250
2006,213,14,75,32,19,274,77,334,257
2007,245,8,74,7,1,288,95,291,196
2008,245,1,88,7,0,278,107,291,184
2009,236,14,86,14,0,270,88,286,198
2010,259,27,97,16,0,258,105,293,188
2011,229,4,76,11,0,286,106,287,181
2012,243,15,67,13,0,288,137,289,152
2013,251,12,96,17,0,246,97,303,206
2014,240,2,53,9,0,313,105,342,237
2015,245,2,79,31,0,292,97,291,194
2016,243,10,77,13,0,279,119,285,166
2017,249,12,83,25,1,277,118,302,184
2018,225,3,70,28,0,288,95,294,199
2019,239,3,72,22,1,287,125,312,187
2020,228,3,59,21,0,302,105,324,219
2021,245,5,84,8,0,272,106,296,190
2022,216,9,69,37,1,294,100,309,209
2023,219,0,57,25,0,306,110,326,216
2024,231,10,43,15,1,315,114,318,204
