Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,259,0,40,1,0,285,119,283,164
1952,262,4,69,9,1,253,95,285,190
1953,260,8,45,3,1,288,75,310,235
1954,277,17,44,2,0,284,107,324,217
1955,265,3,82,2,0,256,142,301,159
1956,283,24,70,1,0,272,97,305,208
1957,277,2,39,10,2,294,126,321,195
1958,250,3,59,0,0,265,101,334,233
1959,228,5,47,12,2,288,110,301,191
1960,263,8,39,1,0,297,82,312,230
1961,266,12,35,6,0,298,80,309,229
1962,291,13,71,1,0,255,84,320,236
1963,268,41,91,4,0,262,102,336,234
1964,255,8,62,13,0,266,96,311,215
1965,284,4,50,0,0,268,80,308,228
1966,265,10,40,6,0,278,103,304,201
1967,257,8,37,3,1,288,114,311,197
1968,261,9,58,4,1,253,103,316,213
1969,257,15,67,7,4,261,87,330,243
1970,265,18,60,1,0,259,98,311,213
1971,260,11,44,6,0,287,118,287,169
1972,289,5,38,4,0,286,72,292,220
1973,250,2,44,11,0,266,103,284,181
1974,270,0,13,3,1,317,66,309,243
1975,253,2,34,13,2,289,100,317,217
1976,250,9,55,22,1,287,119,325,206
1977,269,0,39,1,0,295,109,330,221
1978,286,9,49,3,0,276,106,313,207
1979,262,20,67,2,0,262,108,299,191
1980,273,8,59,3,0,282,97,304,207
1981,254,7,64,3,0,268,113,311,198
1982,241,7,44,12,0,289,104,334,230
1983,253,2,50,12,1,280,87,294,207
1984,290,0,38,6,1,283,101,361,260
1985,254,33,79,3,0,256,115,298,183
1986,265,18,64,6,1,274,102,332,230
1987,267,20,71,4,1,267,88,333,245
1988,258,0,18,3,0,305,104,307,203
1989,245,0,22,8,2,302,76,319,243
1990,258,0,18,11,1,316,99,325,226
1991,260,8,56,6,4,289,114,324,210
1992,245,2,30,10,2,302,95,287,192
1993,257,4,58,1,0,287,88,290,202
1994,259,1,26,20,5,307,108,290,182
1995,253,7,45,22,0,282,88,307,219
1996,278,16,87,3,0,252,125,318,193
1997,252,11,38,7,3,296,110,295,185
1998,258,3,38,8,0,303,83,321,238
1999,237,0,30,11,0,302,106,316,210
2000,248,0,29,4,1,312,98,351,253
2001,246,2,47,11,1,281,110,313,203
2002,245,3,36,8,1,317,96,313,217
2003,238,8,58,19,4,293,100,290,190
2004,259,2,61,6,1,276,102,313,211
2005,242,6,54,8,1,280,68,321,253
2006,229,3,58,19,6,278,100,305,205
2007,238,1,25,4,0,318,78,295,217
2008,250,0,47,3,0,296,107,326,219
2009,249,8,53,5,0,285,89,286,197
2010,255,33,88,14,2,257,111,286,175
2011,240,2,42,4,1,307,87,317,230
2012,253,14,37,5,1,305,107,300,193
2013,258,14,63,12,1,270,96,319,223
2014,244,1,20,4,1,325,105,328,223
2015,271,0,29,15,2,301,96,284,188
2016,240,1,51,13,2,288,77,316,239
2017,234,2,42,10,0,301,116,310,194
2018,222,3,48,19,2,290,95,307,212
2019,236,2,35,18,2,306,77,302,225
2020,234,0,26,19,5,319,132,309,177
2021,246,4,50,3,2,288,122,313,191
2022,229,3,32,22,0,313,99,322,223
2023,225,0,38,14,0,312,115,331,216
2024,232,1,24,11,1,324,113,325,212
