Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,261,7,54,3,0,183,265,105,289,184
1952,255,12,85,17,4,198,235,95,285,190
1953,248,8,64,12,0,147,270,130,282,152
1954,269,21,67,8,0,207,262,107,308,201
1955,265,16,101,2,0,188,235,114,291,177
1956,279,29,92,1,0,211,250,111,303,192
1957,285,11,65,9,1,194,271,128,277,149
1958,264,10,69,1,0,197,256,107,334,227
1959,238,6,68,16,0,139,265,111,299,188
1960,265,9,53,2,0,209,277,123,312,189
1961,268,14,48,8,0,198,279,80,309,229
1962,276,17,90,3,0,189,240,84,295,211
1963,260,51,100,6,0,168,249,93,301,208
1964,253,16,75,20,2,171,255,78,299,221
1965,283,5,74,1,0,231,246,71,296,225
1966,261,14,48,5,0,213,268,84,303,219
1967,267,9,57,11,0,195,268,114,291,177
1968,264,14,76,2,0,203,243,102,316,214
1969,264,31,84,9,2,193,238,109,309,200
1970,264,20,81,4,0,217,237,97,296,199
1971,256,17,58,10,0,156,261,81,308,227
1972,283,14,66,7,1,166,269,116,292,176
1973,248,4,69,15,1,163,238,111,291,180
1974,269,0,21,3,0,209,279,61,290,229
1975,245,2,51,13,1,171,253,100,316,216
1976,253,13,62,23,5,158,269,120,325,205
1977,266,4,42,2,0,207,273,106,331,225
1978,286,13,58,4,0,183,260,107,313,206
1979,261,19,64,4,0,193,253,126,314,188
1980,275,11,66,1,0,195,262,80,304,224
1981,252,17,77,4,0,221,250,113,310,197
1982,247,16,59,12,1,184,263,77,319,242
1983,258,13,66,17,2,184,267,93,295,202
1984,285,2,53,5,0,198,248,108,318,210
1985,262,33,94,2,0,188,247,80,299,219
1986,276,21,69,7,1,192,259,102,302,200
1987,267,23,76,2,1,195,254,103,333,230
1988,251,2,40,5,0,202,278,115,304,189
1989,247,5,53,9,1,174,276,77,313,236
1990,264,2,36,12,0,176,285,99,296,197
1991,267,16,73,20,2,163,254,111,301,190
1992,249,4,42,16,1,169,277,96,287,191
1993,251,18,65,11,0,187,260,88,316,228
1994,252,1,31,24,6,201,297,79,280,201
1995,264,9,58,21,0,197,265,89,307,218
1996,281,21,80,7,0,179,242,93,326,233
1997,250,18,47,11,0,181,272,81,294,213
1998,249,7,62,17,0,211,280,103,321,218
1999,227,4,49,13,0,204,284,76,318,242
2000,242,6,28,11,0,221,303,64,351,287
2001,250,3,59,17,2,209,272,109,312,203
2002,243,15,40,11,1,188,312,96,340,244
2003,230,8,68,27,9,146,279,101,291,190
2004,255,7,65,14,0,182,265,88,318,230
2005,245,10,65,21,3,187,269,69,322,253
2006,232,14,66,23,5,185,271,96,305,209
2007,232,8,31,8,3,176,306,51,318,267
2009,219,16,62,10,1,178,283,83,287,204
2010,250,37,86,18,4,195,256,91,293,202
2011,208,5,50,8,0,168,286,79,293,214
2012,244,16,48,12,0,179,296,91,300,209
2013,260,17,76,14,2,175,250,97,315,218
2014,238,1,17,9,0,180,304,84,341,257
2015,255,1,44,25,3,167,289,96,326,230
2016,238,8,53,13,0,177,271,118,312,194
2017,248,7,49,14,0,179,283,113,333,220
2018,215,8,52,34,3,154,288,95,325,230
2019,238,3,45,24,2,172,294,78,313,235
2020,230,0,34,19,2,166,298,104,324,220
2021,244,5,50,6,0,182,274,104,314,210
2022,225,7,40,34,0,163,296,93,342,249
2023,224,1,43,17,0,201,300,95,325,230
2024,232,7,36,16,0,191,313,113,325,212
2025,135,3,42,10,0,64,147,78,197,119
