Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,280,7,64,1,0,250,112,281,169
1952,303,12,89,1,0,222,93,286,193
1953,273,12,63,1,0,268,110,321,211
1954,291,28,83,1,0,246,116,319,203
1955,279,25,98,0,0,233,115,301,186
1956,298,34,90,0,0,233,112,304,192
1957,291,7,58,4,0,259,128,317,189
1958,285,18,86,0,0,234,103,314,211
1959,271,22,63,2,0,259,71,278,207
1960,286,20,68,0,0,253,97,313,216
1961,278,15,57,2,0,273,91,308,217
1962,310,25,76,0,0,236,87,305,218
1963,281,58,97,6,0,240,102,335,233
1964,277,27,90,3,0,236,95,300,205
1965,312,13,83,0,0,237,92,295,203
1966,276,28,75,2,0,235,105,302,197
1967,257,6,47,0,0,266,113,312,199
1968,278,22,79,1,0,244,102,318,216
1969,275,45,109,7,1,224,109,327,218
1970,287,35,98,1,0,229,104,310,206
1971,282,15,55,2,0,256,117,301,184
1972,298,16,63,1,0,258,115,294,179
1973,270,6,66,5,0,236,110,285,175
1974,292,1,30,1,0,287,103,324,221
1975,267,5,53,7,0,254,100,318,218
1976,276,22,84,6,2,245,119,325,206
1977,291,8,57,0,0,262,109,330,221
1978,306,23,73,3,0,249,105,315,210
1979,288,37,88,2,0,225,107,299,192
1980,293,27,97,0,0,235,110,305,195
1981,281,28,77,1,0,245,114,311,197
1982,269,20,69,7,0,254,98,309,211
1983,270,11,59,8,1,263,99,302,203
1984,308,13,72,1,0,240,92,318,226
1985,299,43,91,3,0,228,113,296,183
1986,304,35,79,2,0,244,103,306,203
1987,320,33,93,0,0,246,103,330,227
1988,288,6,65,0,0,254,117,299,182
1989,284,6,56,2,0,274,120,316,196
1990,287,4,39,3,0,283,107,297,190
1991,295,15,67,2,0,250,126,293,167
1992,260,7,51,4,0,263,111,286,175
1993,304,14,78,0,0,242,125,290,165
1994,289,8,48,15,1,266,108,278,170
1995,277,20,83,8,0,236,118,294,176
1996,299,43,124,6,0,218,128,318,190
1997,273,16,90,8,0,248,144,288,144
1998,301,11,62,1,0,273,84,308,224
1999,265,5,58,4,0,266,109,291,182
2000,294,6,40,4,0,288,101,353,252
2001,287,15,85,3,0,241,111,312,201
2002,262,14,67,6,0,258,98,303,205
2003,263,13,97,11,0,245,102,286,184
2004,298,10,76,5,0,257,134,312,178
2005,279,8,85,3,0,255,110,319,209
2006,252,14,71,10,0,265,95,305,210
2007,273,3,36,2,0,294,111,293,182
2008,273,3,47,5,0,281,100,302,202
2009,277,13,67,2,0,263,113,303,190
2010,287,56,107,9,1,244,124,310,186
2011,270,13,73,0,0,264,124,286,162
2012,278,25,72,2,0,271,107,299,192
2013,271,18,87,5,0,256,120,323,203
2014,266,15,47,1,0,294,122,332,210
2015,292,1,42,5,0,278,96,325,229
2016,247,11,78,5,0,260,125,307,182
2017,264,8,57,0,0,264,116,309,193
2018,237,6,66,12,2,260,121,300,179
2019,268,4,60,9,0,291,130,279,149
2020,275,0,37,10,0,299,117,331,214
2021,258,9,70,2,0,263,116,332,216
2022,263,8,54,7,0,280,107,321,214
2023,252,4,59,3,0,284,123,290,167
2024,250,3,34,4,0,306,113,307,194
