Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,282,0,26,1,0,224,0,283,111,344,233
1952,272,4,70,6,1,227,0,246,92,319,227
1953,266,15,52,2,0,214,0,284,130,326,196
1954,294,19,55,3,0,226,1,278,109,319,210
1955,270,13,82,0,1,204,0,254,114,303,189
1956,298,30,76,1,0,233,1,259,109,304,195
1957,292,5,40,7,4,209,0,290,127,325,198
1958,269,5,64,2,0,227,0,259,103,315,212
1959,259,5,51,8,2,158,0,285,109,301,192
1960,281,10,43,0,0,234,0,290,80,312,232
1961,276,10,38,6,0,211,0,295,80,309,229
1962,296,14,69,0,0,225,0,248,120,317,197
1963,284,49,90,1,0,194,0,260,94,301,207
1964,270,12,65,10,3,185,0,253,97,300,203
1965,298,14,59,0,0,228,0,259,80,308,228
1966,282,12,46,2,0,229,1,271,103,302,199
1967,269,10,41,3,0,211,0,279,113,311,198
1968,275,16,74,3,1,210,1,250,103,316,213
1969,270,15,77,7,1,203,0,257,108,329,221
1970,267,18,67,2,0,243,0,261,98,341,243
1971,267,12,40,0,0,184,1,282,119,287,168
1972,304,6,40,3,0,177,0,291,116,292,176
1973,263,2,50,9,2,204,0,257,93,285,192
1974,287,0,19,3,2,226,0,306,67,309,242
1975,261,5,44,8,0,187,0,265,99,283,184
1976,261,9,55,18,1,176,0,281,119,325,206
1977,286,2,36,1,0,230,0,289,99,329,230
1978,293,14,55,1,1,210,0,275,101,314,213
1979,269,20,64,0,0,223,0,251,123,317,194
1980,285,15,53,2,1,217,0,271,80,305,225
1981,271,11,61,1,0,234,0,267,113,311,198
1982,254,8,41,2,0,203,1,287,103,333,230
1983,266,9,44,8,1,210,0,282,70,295,225
1984,296,1,42,3,1,203,0,271,93,346,253
1985,270,32,80,1,0,209,0,256,115,302,187
1986,281,24,63,1,0,204,0,268,102,332,230
1987,282,26,70,2,3,207,0,262,79,309,230
1988,277,0,20,0,0,227,0,300,115,307,192
1989,251,0,28,3,2,169,0,304,76,320,244
1990,271,3,27,6,1,185,0,304,99,312,213
1991,271,15,53,4,2,173,0,278,110,325,215
1992,255,4,30,6,1,190,0,291,51,286,235
1993,271,11,59,2,0,195,0,277,88,290,202
1994,271,4,28,16,6,197,0,306,85,290,205
1995,259,10,46,15,3,194,0,278,88,307,219
1996,286,23,88,4,0,179,0,250,103,319,216
1997,260,12,42,6,2,177,0,296,110,294,184
1998,267,4,35,8,0,228,0,297,82,321,239
1999,258,4,33,9,0,219,0,289,69,315,246
2000,259,1,25,4,1,225,0,309,96,355,259
2001,256,4,52,7,0,218,0,272,110,312,202
2002,256,3,27,8,0,211,0,316,86,339,253
2003,249,10,56,16,4,161,0,283,100,290,190
2004,268,2,58,4,0,194,0,270,87,313,226
2005,251,12,53,8,1,205,0,275,65,322,257
2006,235,4,62,14,5,199,0,276,95,355,260
2007,253,4,24,4,0,206,1,313,78,295,217
2008,254,2,45,2,0,206,0,294,107,326,219
2009,258,12,49,4,0,193,0,288,79,287,208
2010,262,34,81,12,3,209,0,257,111,329,218
2011,255,3,37,2,0,179,0,304,78,293,215
2012,257,15,41,4,1,214,0,298,107,300,193
2013,269,18,76,9,0,207,0,257,97,319,222
2014,263,1,18,2,0,197,1,314,105,328,223
2015,278,2,36,11,2,210,0,289,96,326,230
2016,245,2,49,9,0,216,0,285,114,318,204
2017,246,4,41,9,0,222,0,292,115,310,195
2018,232,6,46,11,1,175,1,287,79,306,227
2019,248,3,35,11,2,204,0,292,104,303,199
2020,242,0,32,12,1,189,0,312,105,333,228
2021,256,6,49,3,0,217,2,278,115,315,200
2022,237,3,39,16,1,171,0,296,92,337,245
2023,235,3,40,6,0,222,0,307,115,331,216
2024,250,6,31,8,0,225,1,319,113,325,212
2025,140,4,37,8,0,85,0,155,96,208,112
