Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,284,0,57,3,0,177,261,119,290,171
1952,292,8,93,6,1,215,228,95,285,190
1953,276,13,65,5,0,184,275,130,322,192
1954,299,19,68,1,0,201,254,117,319,202
1955,280,18,105,0,0,202,235,142,291,149
1956,298,34,84,0,0,204,249,112,281,169
1957,299,7,56,9,1,202,274,128,323,195
1958,281,6,78,0,0,214,247,112,314,202
1959,262,8,64,6,0,135,268,124,280,156
1960,288,12,61,0,0,228,270,123,288,165
1961,284,16,50,6,0,216,284,86,308,222
1962,303,23,80,0,0,221,236,120,317,197
1963,284,58,99,3,0,181,251,116,301,185
1964,278,17,77,9,0,167,247,97,294,197
1965,308,14,74,0,0,230,238,92,295,203
1966,287,16,67,1,0,220,258,104,302,198
1967,276,8,51,1,0,215,265,123,311,188
1968,283,22,82,1,0,199,237,104,315,211
1969,277,29,101,4,0,195,234,109,309,200
1970,285,27,86,0,0,223,236,103,296,193
1971,281,17,66,3,0,181,259,119,258,139
1972,312,10,59,4,0,167,257,115,276,161
1973,270,5,66,7,0,200,231,135,284,149
1974,297,0,29,2,0,208,283,127,309,182
1975,277,4,52,8,0,192,253,100,283,183
1976,278,17,75,9,0,169,255,119,305,186
1977,292,3,51,0,0,207,271,109,329,220
1978,307,21,72,2,0,202,258,107,311,204
1979,286,23,85,1,0,202,237,126,299,173
1980,294,20,75,1,0,208,247,111,305,194
1981,284,21,85,3,0,238,248,122,310,188
1982,263,9,64,6,0,193,261,104,332,228
1983,272,14,69,8,0,217,269,93,295,202
1984,304,5,72,4,1,216,251,129,319,190
1985,282,40,89,2,0,229,240,115,299,184
1986,291,37,69,3,0,198,259,103,332,229
1987,293,33,80,1,0,226,255,90,308,218
1988,280,2,43,0,0,234,270,116,307,191
1989,271,4,54,4,0,183,278,118,317,199
1990,283,1,37,4,0,208,287,107,325,218
1991,284,17,73,4,1,193,253,124,300,176
1992,258,6,40,6,1,216,267,111,286,175
1993,285,16,70,0,0,218,256,88,290,202
1994,277,6,37,16,2,216,282,108,289,181
1995,273,16,77,11,0,203,255,110,307,197
1996,297,41,98,3,0,177,232,126,318,192
1997,267,13,57,3,0,184,260,112,293,181
1998,281,8,54,6,0,242,283,103,320,217
1999,263,7,49,3,0,221,272,109,289,180
2000,269,2,44,4,0,224,300,100,352,252
2001,266,6,76,5,0,225,260,112,312,200
2002,270,7,51,6,0,207,291,98,280,182
2003,257,14,84,16,1,165,257,101,287,186
2004,286,4,81,5,0,223,253,102,313,211
2005,278,17,70,4,0,219,264,111,321,210
2006,243,11,78,11,0,211,261,104,305,201
2007,267,5,36,3,0,221,299,110,292,182
2008,262,2,58,7,0,205,275,107,302,195
2009,271,13,68,4,0,221,268,89,286,197
2010,278,55,101,10,1,212,247,124,286,162
2011,261,7,68,3,0,188,279,124,315,191
2012,271,19,62,5,0,214,286,137,284,147
2013,273,23,81,8,0,215,254,97,318,221
2014,280,3,36,5,1,214,299,123,328,205
2015,279,1,49,12,0,210,283,118,306,188
2016,249,4,66,10,0,213,270,124,312,188
2017,261,8,57,3,0,232,281,129,310,181
2018,232,10,64,20,0,183,271,95,306,211
2019,254,3,59,16,2,211,285,134,302,168
2020,268,1,34,8,1,195,299,132,309,177
2021,259,9,68,3,0,221,271,127,313,186
2022,246,6,57,18,0,188,291,106,316,210
2023,243,2,54,5,0,242,294,122,321,199
2024,244,4,35,8,0,215,308,113,308,195
2025,146,2,52,4,0,86,140,97,98,1
