Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,282,3,56,0,0,267,112,289,177
1952,303,11,94,2,0,230,93,285,192
1953,279,12,58,3,0,278,100,328,228
1954,298,25,73,0,0,261,107,319,212
1955,279,16,98,0,0,245,115,301,186
1956,310,31,84,0,0,247,114,304,190
1957,293,6,54,6,0,274,128,274,146
1958,276,10,83,0,0,245,103,315,212
1959,271,17,71,3,0,270,110,278,168
1960,290,11,66,0,0,271,123,312,189
1961,294,16,53,2,0,274,89,308,219
1962,314,21,82,0,0,236,120,305,185
1963,295,62,99,1,0,246,115,301,186
1964,280,27,87,4,0,241,96,293,197
1965,315,14,83,0,0,238,92,295,203
1966,288,26,72,0,0,246,105,302,197
1967,278,6,41,0,0,279,121,311,190
1968,279,18,80,0,0,236,101,314,213
1969,274,36,100,3,0,234,109,310,201
1970,294,30,96,1,0,235,104,296,192
1971,282,14,63,1,0,264,119,287,168
1972,311,18,71,5,0,255,115,278,163
1973,284,5,57,4,0,243,110,284,174
1974,300,1,28,0,0,288,116,288,172
1975,274,0,55,10,0,261,100,284,184
1976,277,16,85,9,0,259,121,323,202
1977,294,5,50,1,0,271,109,329,220
1978,309,21,76,2,0,256,107,311,204
1979,293,32,94,0,0,226,126,295,169
1980,304,17,86,0,0,242,143,286,143
1981,289,19,89,1,0,249,122,287,165
1982,279,12,81,7,0,253,132,309,177
1983,281,11,63,8,0,266,99,295,196
1984,311,5,87,2,0,243,129,318,189
1985,296,36,97,2,0,242,115,298,183
1986,304,26,75,3,0,254,103,332,229
1987,308,29,84,0,0,258,90,331,241
1988,293,2,46,0,0,281,117,307,190
1989,272,6,47,3,0,285,119,316,197
1990,291,3,34,3,0,297,99,296,197
1991,286,12,74,4,0,263,127,294,167
1992,255,8,40,6,0,281,124,286,162
1993,298,12,67,0,0,257,88,289,201
1994,281,7,40,17,2,282,107,289,182
1995,269,16,76,10,0,263,141,273,132
1996,300,43,103,4,0,228,126,318,192
1997,267,14,57,7,1,264,112,288,176
1998,283,8,48,3,0,293,82,320,238
1999,266,4,46,5,0,280,109,293,184
2000,281,6,33,2,0,304,100,353,253
2001,275,12,73,4,0,259,113,312,199
2002,263,12,52,5,0,283,98,280,182
2003,259,15,84,11,0,259,102,287,185
2004,282,3,62,6,0,269,86,313,227
2005,275,10,60,3,0,278,111,321,210
2006,250,12,78,8,0,268,100,305,205
2007,267,7,36,4,0,307,110,292,182
2008,263,4,54,7,0,283,107,302,195
2009,265,14,65,4,0,274,89,285,196
2010,282,49,104,12,0,247,112,290,178
2011,261,8,55,3,0,275,124,315,191
2012,273,14,60,3,0,286,107,299,192
2013,277,18,80,3,0,260,97,324,227
2014,261,9,32,2,0,304,83,324,241
2015,289,1,30,4,0,295,,,
2016,246,7,60,5,0,274,115,312,197
2017,259,8,34,1,0,286,109,310,201
2018,239,7,58,12,1,269,95,321,226
2019,258,2,37,12,0,306,102,302,200
2020,276,0,16,8,0,312,91,333,242
2021,256,12,51,1,0,272,115,335,220
2022,257,5,36,10,0,299,92,321,229
2023,253,2,45,5,0,297,95,325,230
2024,244,2,25,2,0,315,113,324,211
