Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,255,0,26,1,0,200,292,111,344,233
1952,259,3,58,8,1,203,254,92,316,224
1953,255,7,39,3,0,169,290,74,328,254
1954,273,15,46,3,0,204,289,107,324,217
1955,260,6,77,2,0,189,262,114,304,190
1956,283,25,70,0,0,208,273,97,304,207
1957,275,4,29,10,4,198,297,103,324,221
1958,247,3,57,0,0,218,266,102,335,233
1959,230,5,46,10,3,145,295,109,327,218
1960,256,8,34,2,0,222,298,68,313,245
1961,257,11,32,6,0,210,301,80,309,229
1962,286,10,68,1,0,206,257,84,317,233
1963,260,40,88,4,1,178,263,82,336,254
1964,250,7,62,13,1,169,265,96,311,215
1965,274,7,49,1,0,221,267,80,308,228
1966,254,11,44,6,0,210,280,103,302,199
1967,251,6,29,4,1,221,295,113,311,198
1968,243,9,53,3,0,204,269,102,318,216
1969,248,15,62,11,3,183,261,86,330,244
1970,249,16,53,2,0,205,268,98,355,257
1971,247,12,37,4,0,167,295,86,287,201
1972,279,5,34,4,2,169,294,115,292,177
1973,246,2,33,11,3,184,269,93,321,228
1974,262,0,14,3,2,223,320,66,309,243
1975,249,1,24,10,3,192,293,89,326,237
1976,243,8,54,21,3,160,286,119,325,206
1977,264,1,35,1,0,204,299,99,329,230
1978,275,9,49,3,0,199,280,96,313,217
1979,255,20,61,4,0,215,263,82,316,234
1980,262,10,59,4,0,203,283,95,304,209
1981,250,8,66,4,0,227,270,113,311,198
1982,238,7,37,14,2,193,290,83,334,251
1983,251,0,43,16,3,195,288,87,296,209
1984,282,0,33,7,1,207,291,81,362,281
1985,253,34,76,6,0,209,261,115,299,184
1986,263,16,58,9,1,183,275,102,334,232
1987,261,18,71,5,1,206,269,88,333,245
1988,253,0,17,3,0,223,309,114,307,193
1989,242,0,19,11,2,174,306,76,326,250
1990,256,0,19,12,2,179,317,99,325,226
1991,257,10,51,15,4,163,293,110,324,214
1992,242,2,25,11,2,191,307,49,360,311
1993,250,6,51,2,0,195,285,88,290,202
1994,263,3,28,21,6,197,304,108,290,182
1995,252,8,46,23,1,178,284,88,307,219
1996,279,19,87,4,0,167,252,104,318,214
1997,253,12,40,7,3,177,298,112,294,182
1998,257,2,38,9,0,218,306,83,321,238
1999,238,1,30,12,0,207,304,69,316,247
2000,250,0,27,4,1,223,312,96,354,258
2001,247,2,43,10,1,218,281,103,313,210
2002,243,3,33,8,0,198,317,96,340,244
2003,237,9,59,18,4,147,292,100,290,190
2004,255,3,58,5,0,196,276,102,313,211
2005,244,5,54,9,1,196,280,68,321,253
2006,226,3,53,20,5,177,278,100,305,205
2007,240,1,27,4,0,203,320,78,292,214
2009,252,9,52,6,0,215,285,89,286,197
2010,257,34,88,14,3,202,258,111,286,175
2011,240,2,39,3,1,181,306,87,317,230
2012,254,14,38,6,1,218,305,107,300,193
2013,257,14,64,10,1,201,271,96,319,223
2014,241,1,19,4,1,200,324,105,328,223
2015,271,0,28,14,2,212,301,96,365,269
2016,240,1,50,14,2,201,292,77,316,239
2017,234,2,38,9,0,219,303,116,310,194
2018,221,3,48,19,2,163,291,95,306,211
2019,235,2,30,18,3,200,310,102,303,201
2020,234,0,21,19,6,197,319,132,333,201
2021,246,4,49,3,2,209,286,122,314,192
2022,230,3,29,22,0,167,314,99,322,223
2023,227,0,35,15,0,220,312,115,331,216
2024,228,3,21,10,0,222,325,113,325,212
2025,133,2,35,8,0,91,148,76,198,122
