Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,260,1,37,7,0,188,0,271,88,330,242
1952,251,15,85,14,5,201,0,249,95,286,191
1953,249,15,70,8,0,163,0,266,130,312,182
1954,276,26,59,4,0,201,0,268,109,319,210
1955,266,8,94,2,0,178,0,247,109,291,182
1956,270,35,82,2,0,183,0,255,111,306,195
1957,277,11,56,9,3,167,0,277,98,325,227
1958,245,6,73,5,0,194,0,255,107,334,227
1959,244,4,64,6,1,161,0,275,111,306,195
1960,255,11,44,1,0,191,0,282,82,313,231
1961,251,13,47,11,0,171,0,293,80,309,229
1962,270,15,87,7,0,178,0,242,120,302,182
1963,253,47,98,4,0,170,0,254,93,300,207
1964,246,22,75,19,2,147,0,261,78,299,221
1965,288,12,67,5,1,232,1,258,71,295,224
1966,256,12,47,5,0,193,1,275,88,303,215
1967,251,13,60,10,0,178,0,269,115,312,197
1968,262,20,72,3,1,182,0,253,102,319,217
1969,265,31,80,8,2,163,0,251,109,309,200
1970,258,18,78,3,0,198,0,245,94,296,202
1971,247,16,59,14,1,139,1,259,82,289,207
1972,283,10,59,6,0,147,0,278,116,292,176
1973,252,11,75,11,0,164,0,236,103,297,194
1974,264,0,18,5,1,188,0,287,68,310,242
1975,253,3,49,7,1,169,1,266,100,325,225
1976,242,15,58,19,3,169,0,271,120,325,205
1977,257,2,38,2,0,169,0,284,106,330,224
1978,281,18,60,1,0,187,1,271,107,312,205
1979,256,13,48,5,0,186,1,263,82,315,233
1980,281,16,61,3,1,168,0,260,64,306,242
1981,253,10,69,5,1,189,0,257,113,311,198
1982,244,17,48,8,2,162,0,273,103,310,207
1983,248,10,57,17,4,172,0,267,87,295,208
1984,276,5,70,7,2,172,0,250,93,307,214
1985,247,38,98,6,0,175,0,250,114,293,179
1986,266,25,76,5,1,186,0,258,102,306,204
1987,264,25,84,5,1,199,0,257,103,308,205
1988,256,3,51,4,0,213,0,268,114,304,190
1989,248,6,74,6,1,157,0,281,78,311,233
1990,252,2,53,9,0,168,2,284,61,295,234
1991,259,14,80,11,1,151,0,259,114,294,180
1992,236,10,48,15,2,181,1,280,96,305,209
1993,250,19,68,3,0,197,0,272,88,300,212
1994,243,1,36,16,3,211,0,304,108,290,182
1995,258,15,62,15,1,202,0,269,89,308,219
1996,270,21,100,3,0,166,0,239,105,326,221
1997,246,14,65,9,0,172,0,272,111,297,186
1998,246,13,67,12,1,194,0,284,84,311,227
1999,232,13,56,9,0,207,0,269,76,291,215
2000,244,3,39,10,0,201,0,306,97,323,226
2001,248,5,64,17,0,210,0,270,103,312,209
2002,246,14,46,9,1,186,0,310,96,341,245
2003,232,11,85,30,9,145,0,265,100,290,190
2004,251,6,81,19,1,196,0,261,99,313,214
2005,247,21,77,17,1,188,0,261,99,321,222
2006,226,9,79,21,0,187,0,267,96,305,209
2007,233,5,42,7,0,196,0,293,69,318,249
2008,244,2,71,11,0,190,0,276,98,319,221
2009,225,17,67,10,0,186,0,270,80,287,207
2010,257,30,95,17,1,206,0,253,91,293,202
2011,221,8,66,13,2,166,0,282,80,293,213
2012,238,19,54,18,1,179,0,292,107,301,194
2013,252,18,85,13,2,200,0,247,97,303,206
2014,242,1,44,8,0,187,0,304,106,341,235
2015,255,2,67,28,3,159,0,282,97,326,229
2016,243,2,68,14,0,183,0,265,119,307,188
2017,254,15,76,21,0,189,0,277,113,303,190
2018,219,8,62,30,1,160,0,282,88,320,232
2019,238,6,62,22,1,175,0,285,86,312,226
2020,239,1,61,18,0,160,0,289,132,310,178
2021,254,6,69,5,1,199,0,268,105,296,191
2022,223,8,57,27,0,165,0,291,100,316,216
2023,222,3,51,24,3,187,0,300,95,288,193
2024,233,5,43,21,0,187,0,306,114,320,206
2025,135,3,48,12,0,84,0,161,97,208,111
