Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,284,0,93,3,0,243,120,281,161
1952,275,19,110,17,0,232,142,282,140
1953,281,20,121,6,0,243,130,281,151
1954,301,25,105,3,0,241,118,282,164
1955,289,13,125,1,0,228,115,290,175
1956,301,37,113,1,0,232,141,282,141
1957,301,10,93,7,0,257,128,273,145
1958,285,6,89,2,0,241,113,294,181
1959,276,7,105,5,0,251,112,278,166
1960,297,12,72,0,0,263,123,287,164
1961,277,14,78,3,0,274,86,293,207
1962,288,20,112,8,0,227,154,289,135
1963,275,51,120,4,0,240,124,287,163
1964,272,24,99,18,0,237,98,287,189
1965,303,14,96,3,0,244,140,290,150
1966,281,12,76,4,0,262,91,303,212
1967,276,16,87,8,0,255,123,291,168
1968,284,25,103,3,0,240,140,294,154
1969,289,34,107,6,0,237,109,304,195
1970,280,20,104,2,0,234,101,290,189
1971,280,18,109,13,0,243,119,258,139
1972,307,11,97,4,0,256,116,276,160
1973,258,10,117,5,0,226,111,285,174
1974,278,1,47,3,0,260,109,289,180
1975,269,5,89,4,0,241,100,284,184
1976,266,20,91,18,0,250,122,309,187
1977,283,7,58,1,0,268,110,329,219
1978,300,25,88,1,0,248,107,292,185
1979,271,16,85,0,0,245,127,292,165
1980,300,19,90,2,0,251,112,304,192
1981,277,12,97,2,0,245,122,295,173
1982,261,17,83,2,0,252,112,310,198
1983,265,15,88,14,1,253,103,294,191
1984,297,6,97,6,0,239,129,309,180
1985,276,37,112,4,0,236,123,293,170
1986,284,28,89,3,0,249,103,306,203
1987,278,29,96,3,0,250,104,308,204
1988,273,4,69,4,0,264,116,304,188
1989,266,5,76,8,0,271,82,311,229
1990,278,5,61,8,0,280,85,295,210
1991,270,18,90,8,0,252,125,294,169
1992,255,10,70,14,0,263,107,286,179
1993,270,17,81,2,0,265,98,300,202
1994,266,2,41,14,0,289,108,279,171
1995,280,15,80,9,0,260,89,294,205
1996,292,29,112,1,0,231,106,326,220
1997,270,14,77,3,0,256,113,295,182
1998,269,16,86,11,0,265,109,311,202
1999,254,15,73,3,0,257,109,289,180
2000,256,3,50,4,0,286,98,320,222
2001,269,6,74,10,0,258,112,309,197
2002,257,16,56,6,0,301,100,292,192
2003,249,13,98,29,0,243,109,289,180
2004,278,10,87,11,0,255,105,312,207
2005,261,22,94,15,0,255,131,310,179
2006,252,22,90,16,0,255,119,305,186
2007,252,12,63,5,0,285,108,292,184
2008,258,4,89,6,0,268,98,291,193
2009,252,20,84,7,0,260,88,286,198
2010,273,43,108,11,0,242,102,285,183
2011,245,9,78,8,0,278,124,293,169
2012,253,19,67,15,0,284,107,300,193
2013,268,23,91,12,0,237,97,303,206
2014,259,2,52,8,0,300,106,310,204
2015,263,3,86,26,1,274,108,324,216
2016,253,7,80,13,0,260,119,307,188
2017,258,18,82,15,0,270,113,303,190
2018,227,12,74,24,0,282,91,294,203
2019,252,6,74,18,0,273,126,312,186
2020,245,2,71,15,0,284,132,310,178
2021,257,5,85,5,0,266,127,309,182
2022,231,9,65,24,0,290,98,309,211
2023,231,4,57,17,0,296,109,288,179
2024,243,9,44,17,0,298,114,320,206
