Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,253,0,28,3,0,210,290,111,344,233
1952,252,2,46,10,2,211,255,91,318,227
1953,251,7,41,6,0,194,292,76,328,252
1954,262,16,48,5,0,217,294,107,323,216
1955,256,5,80,3,0,197,262,108,291,183
1956,270,24,67,1,0,224,279,97,305,208
1957,270,2,40,14,5,196,297,126,333,207
1958,242,2,59,0,0,226,275,102,334,232
1959,234,2,47,15,2,143,294,76,312,236
1960,260,9,36,1,0,223,297,67,312,245
1961,251,10,31,12,0,200,302,80,309,229
1962,281,12,71,1,0,208,257,84,317,233
1963,256,46,94,4,0,188,263,94,301,207
1964,255,8,62,14,1,175,263,96,310,214
1965,280,4,48,0,0,232,270,80,308,228
1966,252,11,42,6,0,218,282,103,302,199
1967,260,7,34,6,0,208,291,114,311,197
1968,260,9,65,4,0,210,257,103,316,213
1969,263,15,72,8,1,191,258,109,330,221
1970,256,17,59,3,0,222,260,98,355,257
1971,258,10,48,6,0,177,289,86,287,201
1972,284,8,40,4,1,180,287,72,292,220
1973,246,4,46,14,0,190,269,102,321,219
1974,266,0,19,3,0,224,317,66,308,242
1975,251,2,35,12,0,196,292,100,317,217
1976,244,6,54,21,1,191,294,119,325,206
1977,265,1,39,2,0,218,298,109,329,220
1978,279,7,54,4,0,214,278,106,313,207
1979,254,16,65,4,0,209,266,108,314,206
1980,274,6,53,3,0,223,286,80,304,224
1981,258,9,62,4,0,243,267,113,311,198
1982,238,8,41,12,1,207,287,103,333,230
1983,261,2,48,12,1,201,285,70,302,232
1984,289,0,33,5,1,219,282,81,353,272
1985,254,31,84,2,0,229,258,115,299,184
1986,268,18,64,5,1,200,274,102,332,230
1987,265,20,63,2,1,222,265,79,336,257
1988,252,0,20,1,1,234,306,100,303,203
1989,245,0,27,7,2,183,300,76,326,250
1990,258,0,21,8,1,188,317,99,325,226
1991,263,8,55,6,2,180,288,110,324,214
1992,242,2,27,7,1,210,303,49,360,311
1993,250,7,57,1,0,207,287,88,303,215
1994,254,1,22,20,6,211,310,85,348,263
1995,251,8,43,17,1,196,284,88,307,219
1996,278,17,74,4,0,199,254,93,319,226
1997,248,11,39,6,2,200,299,110,294,184
1998,255,2,38,8,0,251,299,83,321,238
1999,231,0,27,9,0,235,299,69,316,247
2000,244,1,20,6,1,250,318,96,351,255
2001,243,0,45,11,1,243,280,110,313,203
2002,243,4,33,8,1,218,317,96,340,244
2003,231,7,56,21,6,170,297,98,291,193
2004,251,3,56,8,1,212,278,102,313,211
2005,238,6,51,8,1,225,285,68,322,254
2006,223,4,55,20,5,197,278,95,305,210
2007,233,0,26,5,1,217,314,94,295,201
2009,238,9,53,7,0,216,288,89,286,197
2010,252,29,83,14,2,211,257,112,297,185
2011,227,2,39,4,0,196,308,87,318,231
2012,248,13,38,7,1,217,308,107,300,193
2013,249,11,64,13,0,205,270,96,318,222
2014,237,1,14,5,0,205,324,105,328,223
2015,259,0,31,15,4,203,305,96,330,234
2016,232,1,48,14,1,209,293,77,318,241
2017,234,3,33,13,0,221,304,109,310,201
2018,220,3,46,24,1,172,295,85,306,221
2019,232,3,32,18,4,207,309,103,302,199
2020,226,0,17,17,4,196,322,105,333,228
2021,244,4,45,4,2,212,287,104,313,209
2022,223,5,28,25,0,175,313,92,342,250
2023,225,0,36,18,0,215,315,115,331,216
2024,228,3,24,13,1,231,326,113,325,212
