Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,282,6,107,6,0,200,233,111,280,169
1952,271,33,110,15,0,210,221,95,286,191
1953,274,40,124,2,0,170,233,130,281,151
1954,290,37,99,2,0,226,238,109,282,173
1955,283,37,122,1,0,219,227,115,291,176
1956,290,50,115,1,0,208,219,111,282,171
1957,297,21,98,8,0,184,249,128,275,147
1958,269,25,105,4,0,202,227,113,295,182
1959,276,24,104,4,0,160,238,112,278,166
1960,289,22,84,1,0,203,249,117,287,170
1961,284,25,88,4,0,192,262,86,294,208
1962,281,40,118,9,0,190,219,120,289,169
1963,277,66,107,3,0,178,241,93,288,195
1964,273,46,102,11,0,172,227,98,266,168
1965,304,28,104,6,1,236,235,91,285,194
1966,278,21,78,2,0,219,245,88,303,215
1967,273,23,85,6,0,195,243,117,291,174
1968,284,38,111,0,0,196,233,139,293,154
1969,279,43,111,5,0,174,226,109,309,200
1970,278,41,110,1,0,209,218,101,288,187
1971,271,27,103,8,0,172,229,118,288,170
1972,298,28,101,4,0,153,237,116,276,160
1973,261,30,126,3,0,184,211,111,291,180
1974,283,2,58,4,0,204,241,116,289,173
1975,268,15,87,2,0,182,224,100,302,202
1976,278,35,100,11,0,167,233,121,316,195
1977,285,18,78,2,0,201,257,109,320,211
1978,306,41,109,0,0,195,234,107,311,204
1979,278,18,102,1,0,200,230,126,292,166
1980,303,39,110,3,0,204,214,112,294,182
1981,287,37,111,0,0,209,231,114,297,183
1982,264,23,98,2,0,165,236,115,309,194
1983,273,37,105,10,0,170,239,88,294,206
1984,303,23,125,4,0,174,216,129,302,173
1985,279,48,126,4,0,171,216,123,289,166
1986,282,38,108,1,0,183,224,104,300,196
1987,285,44,102,1,0,184,239,103,308,205
1988,284,14,87,5,0,198,239,116,304,188
1989,281,27,89,1,0,173,251,127,276,149
1990,290,24,87,4,0,184,249,102,281,179
1991,281,33,109,3,0,165,229,115,293,178
1992,258,23,95,14,0,179,234,111,286,175
1993,270,38,97,2,0,200,241,98,300,202
1994,266,15,66,16,0,200,267,108,277,169
1995,284,31,104,6,0,200,237,134,307,173
1996,290,54,127,2,0,186,221,106,296,190
1997,266,24,106,0,0,158,233,128,296,168
1998,275,30,98,12,0,191,252,109,309,200
1999,264,21,97,3,0,200,237,109,289,180
2000,271,14,75,5,0,189,259,98,316,218
2001,282,24,97,9,0,196,240,112,305,193
2002,268,20,77,7,0,185,270,107,271,164
2003,254,30,125,23,0,143,215,101,287,186
2004,279,27,106,3,0,179,240,144,286,142
2005,270,36,110,9,0,180,238,112,290,178
2006,270,36,113,13,0,186,244,119,305,186
2007,269,19,83,6,0,188,262,95,292,197
2008,268,14,103,4,0,195,249,98,291,193
2009,266,33,97,5,0,188,236,89,286,197
2010,289,59,116,11,0,209,235,112,284,172
2011,272,20,94,7,0,169,253,124,287,163
2012,259,26,87,11,0,210,256,137,300,163
2013,278,30,109,13,0,202,224,97,303,206
2014,281,5,72,4,0,190,264,106,320,214
2015,273,13,107,25,0,166,255,113,284,171
2016,264,12,98,8,0,196,243,119,283,164
2017,271,27,98,13,0,191,248,119,303,184
2018,232,19,87,14,0,168,258,95,294,199
2019,262,14,91,12,0,178,256,126,312,186
2020,268,10,95,7,0,163,261,106,293,187
2021,269,15,115,4,0,201,233,127,282,155
2022,247,13,96,16,0,188,260,110,309,199
2023,238,10,81,13,0,199,277,99,288,189
2024,254,16,54,8,0,205,281,116,319,203
2025,148,13,65,7,0,80,134,98,100,2
