Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,257,0,20,2,0,184,293,111,345,234
1952,262,2,55,8,1,191,252,91,318,227
1953,251,9,41,3,1,156,292,76,327,251
1954,279,17,47,3,0,193,288,107,323,216
1955,264,12,75,1,0,186,266,111,304,193
1956,286,27,73,0,0,197,270,97,304,207
1957,277,5,31,9,3,180,295,126,323,197
1958,256,4,62,1,0,208,261,102,326,224
1959,241,3,51,8,2,131,288,109,312,203
1960,274,11,49,0,0,210,283,120,312,192
1961,278,14,38,6,0,199,289,86,309,223
1962,300,15,74,0,0,192,251,120,317,197
1963,273,51,94,4,0,170,259,102,301,199
1964,267,13,71,9,0,154,257,97,300,203
1965,296,10,62,0,0,220,258,80,308,228
1966,275,11,58,4,0,208,269,104,302,198
1967,263,7,37,3,1,196,284,113,311,198
1968,264,15,64,3,0,193,249,102,318,216
1969,262,17,83,7,1,178,249,109,329,220
1970,269,20,69,1,0,219,258,98,341,243
1971,268,15,47,1,0,178,282,119,287,168
1972,299,8,40,4,0,168,282,115,292,177
1973,258,3,45,9,1,185,260,103,321,218
1974,282,0,21,3,0,210,310,69,309,240
1975,260,2,40,10,2,194,275,100,318,218
1976,263,11,63,13,0,177,274,119,325,206
1977,279,1,46,1,0,217,288,109,329,220
1978,304,14,63,3,0,205,267,107,311,204
1979,263,20,70,2,0,203,253,108,300,192
1980,265,13,62,3,0,207,277,96,304,208
1981,259,9,61,4,0,238,271,113,310,197
1982,242,7,52,10,0,192,290,104,310,206
1983,255,7,50,12,2,202,283,71,295,224
1984,285,1,36,5,1,213,281,81,336,255
1985,258,36,78,4,0,215,261,113,299,186
1986,278,19,62,6,1,183,273,102,332,230
1987,268,23,74,3,1,217,265,90,308,218
1988,259,0,24,0,0,219,304,114,307,193
1989,246,0,38,7,0,179,303,118,320,202
1990,263,0,23,7,0,190,313,99,312,213
1991,273,12,62,10,2,179,286,110,299,189
1992,247,1,29,11,1,196,305,95,286,191
1993,263,6,57,1,0,198,279,88,291,203
1994,273,4,33,19,2,202,296,108,290,182
1995,263,13,60,13,0,200,279,110,307,197
1996,285,26,90,4,0,176,248,126,318,192
1997,265,13,50,5,0,180,288,112,294,182
1998,265,4,39,8,0,232,300,103,320,217
1999,242,1,32,14,0,218,302,87,316,229
2000,248,1,30,8,1,233,311,98,354,256
2001,247,1,49,14,1,220,282,110,312,202
2002,250,4,37,10,1,215,311,98,313,215
2003,240,9,69,22,3,174,286,101,290,189
2004,267,3,65,9,0,219,271,102,313,211
2005,257,5,57,9,0,219,278,68,321,253
2006,235,4,61,22,2,203,276,100,305,205
2007,248,3,31,5,0,209,314,110,292,182
2008,257,2,55,3,0,205,287,107,302,195
2009,264,10,61,5,0,221,284,89,286,197
2010,269,39,92,13,1,198,253,124,286,162
2011,256,2,51,2,0,190,301,124,316,192
2012,263,14,50,6,0,219,302,137,300,163
2013,268,16,70,11,0,204,264,97,317,220
2014,261,1,29,4,0,207,319,105,324,219
2015,277,0,40,12,0,208,298,107,329,222
2016,244,0,60,12,0,200,284,108,313,205
2017,244,4,46,8,0,218,299,117,310,193
2018,230,4,59,16,0,173,280,95,306,211
2019,245,2,44,18,1,216,304,102,302,200
2020,255,0,31,14,0,210,315,132,332,200
2021,251,7,55,3,0,208,281,127,313,186
2022,237,3,35,19,0,171,307,99,322,223
2023,229,1,33,13,0,217,309,94,331,237
2024,228,3,23,11,1,221,319,113,325,212
2025,136,3,31,7,0,80,146,76,198,122
