Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,259,0,21,1,0,208,0,291,111,345,234
1952,264,2,53,7,1,223,1,251,92,318,226
1953,257,11,41,3,0,190,0,290,77,327,250
1954,281,16,48,3,0,218,1,289,107,323,216
1955,265,10,79,1,0,205,0,262,114,304,190
1956,291,28,71,0,0,217,1,270,97,304,207
1957,280,5,34,9,2,211,0,295,126,323,197
1958,256,3,60,1,0,224,0,259,102,326,224
1959,242,3,48,8,2,152,0,289,109,312,203
1960,272,10,44,0,0,236,0,289,107,312,205
1961,271,12,37,6,0,224,1,291,86,309,223
1962,297,17,72,0,0,218,0,251,84,317,233
1963,270,45,93,3,0,190,0,261,102,301,199
1964,266,12,66,9,0,181,0,259,97,300,203
1965,292,9,58,0,0,238,0,260,80,308,228
1966,273,10,53,5,0,228,0,272,104,302,198
1967,259,7,36,3,1,226,0,286,113,311,198
1968,262,14,62,3,0,216,0,252,102,318,216
1969,260,17,78,8,1,199,0,251,109,329,220
1970,264,19,61,1,0,233,0,260,98,355,257
1971,262,14,43,1,0,181,0,288,115,287,172
1972,295,8,38,4,0,188,0,285,115,292,177
1973,255,3,39,9,1,204,0,262,102,321,219
1974,274,0,18,3,2,224,0,313,66,309,243
1975,259,1,31,10,3,193,0,281,92,317,225
1976,261,9,60,15,0,182,0,278,119,325,206
1977,277,1,43,1,0,226,0,289,109,329,220
1978,297,12,61,3,0,219,0,269,107,311,204
1979,269,21,71,2,0,221,0,253,108,300,192
1980,273,12,65,3,0,220,1,278,97,304,207
1981,262,9,65,4,0,242,1,269,122,310,188
1982,245,7,49,10,0,194,0,287,104,334,230
1983,258,4,51,11,1,213,0,283,87,295,208
1984,289,0,36,5,1,215,1,282,81,362,281
1985,264,34,77,4,0,225,0,259,115,307,192
1986,278,19,61,6,1,197,0,271,102,332,230
1987,273,23,74,2,1,221,0,265,90,311,221
1988,267,0,23,0,0,241,0,303,114,307,193
1989,248,0,33,7,1,184,0,303,118,321,203
1990,265,0,25,7,0,201,0,314,99,312,213
1991,273,11,57,6,3,184,0,287,110,299,189
1992,249,2,28,11,1,206,0,307,95,286,191
1993,264,6,55,0,0,210,0,280,88,291,203
1994,270,4,31,20,2,220,0,298,108,290,182
1995,261,13,55,17,0,214,0,278,88,307,219
1996,284,25,90,4,0,188,0,251,126,318,192
1997,262,12,47,6,0,195,0,292,112,294,182
1998,264,4,42,8,0,242,0,303,103,320,217
1999,244,1,33,14,0,233,0,302,87,316,229
2000,250,1,28,8,1,252,0,312,98,354,256
2001,247,2,47,13,1,243,0,282,110,312,202
2002,248,4,36,10,1,219,0,313,98,313,215
2003,240,9,69,22,3,175,0,287,101,290,189
2004,266,2,66,9,0,215,0,272,102,313,211
2005,253,4,55,8,1,216,0,280,68,321,253
2006,232,4,60,21,3,203,0,276,100,305,205
2007,246,3,32,4,0,210,0,315,110,292,182
2008,256,2,50,3,0,209,0,293,107,302,195
2009,260,10,60,5,0,224,0,283,89,286,197
2010,266,37,89,13,1,201,0,254,112,286,174
2011,252,2,43,2,0,191,0,304,87,316,229
2012,262,14,41,5,1,221,0,303,107,300,193
2013,266,15,68,11,0,212,0,264,97,314,217
2014,258,1,25,3,0,206,0,321,105,324,219
2015,274,0,33,12,1,207,0,300,96,329,233
2016,241,0,56,13,0,201,0,289,108,315,207
2017,241,4,42,7,0,219,0,299,116,310,194
2018,227,4,53,15,0,171,0,285,95,306,211
2019,243,2,37,19,1,201,0,306,90,302,212
2020,245,0,25,17,1,199,0,314,132,333,201
2021,248,6,50,3,2,203,0,284,115,314,199
2022,233,2,29,18,0,173,0,310,99,322,223
2023,229,1,33,14,0,224,1,309,94,331,237
2024,229,3,21,11,1,226,0,321,113,325,212
