Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,273,10,116,2,0,182,1,229,132,263,131
1952,269,37,123,16,0,205,0,218,142,264,122
1953,275,37,129,2,0,157,0,233,130,281,151
1954,292,35,115,2,0,200,0,226,118,266,148
1955,285,35,138,1,0,206,0,217,140,273,133
1956,304,45,126,0,0,211,0,218,134,282,148
1957,302,23,110,8,0,184,0,239,129,274,145
1958,281,23,111,3,0,166,1,222,124,295,171
1959,281,20,128,4,0,123,0,226,123,261,138
1960,293,22,106,3,0,161,0,247,124,271,147
1961,291,26,101,3,0,157,1,248,86,287,201
1962,294,37,130,8,0,141,0,210,155,289,134
1963,277,65,124,5,0,135,1,230,104,281,177
1964,278,39,110,15,0,132,0,227,78,266,188
1965,310,24,121,5,0,193,1,222,140,284,144
1966,290,19,96,2,0,170,0,237,112,303,191
1967,279,24,107,10,0,145,0,226,118,291,173
1968,293,41,116,0,0,160,0,225,140,293,153
1969,278,50,125,8,0,143,0,225,109,292,183
1970,286,43,117,1,0,173,0,216,104,267,163
1971,284,33,127,11,0,114,0,221,119,258,139
1972,304,36,126,7,0,121,0,221,119,268,149
1973,268,29,134,2,0,139,0,203,131,285,154
1974,290,4,76,4,0,167,0,232,112,277,165
1975,270,16,94,1,0,139,0,220,117,313,196
1976,287,37,116,7,0,127,0,226,122,313,191
1977,280,22,89,2,0,168,0,250,110,270,160
1978,306,41,114,0,0,188,0,217,131,313,182
1979,278,21,111,0,0,182,0,223,127,292,165
1980,305,30,108,3,0,181,0,215,111,300,189
1981,290,37,120,1,0,199,0,229,122,297,175
1982,260,27,112,8,0,151,0,236,127,309,182
1983,271,29,104,11,0,152,0,235,88,294,206
1984,300,24,122,3,0,166,0,217,129,302,173
1985,277,48,132,6,0,175,0,214,123,288,165
1986,282,35,115,3,0,182,0,220,105,300,195
1987,286,42,106,2,0,192,0,236,105,308,203
1988,277,7,82,5,0,201,0,237,115,304,189
1989,277,24,89,3,0,162,0,250,85,276,191
1990,285,26,90,7,0,173,0,254,102,281,179
1991,283,33,110,4,0,147,0,227,125,293,168
1992,255,24,92,16,0,157,0,228,112,286,174
1993,270,34,100,3,0,187,0,236,98,300,202
1994,265,9,69,22,0,181,0,266,100,277,177
1995,283,31,103,9,0,182,0,242,134,295,161
1996,286,54,129,3,0,163,0,220,106,296,190
1997,262,22,104,2,0,145,1,235,128,294,166
1998,271,25,98,13,0,183,0,251,109,311,202
1999,254,26,85,5,0,186,0,238,77,289,212
2000,254,13,65,13,0,200,0,257,97,316,219
2001,269,18,92,10,0,211,0,239,104,312,208
2002,262,24,74,8,0,177,0,273,105,292,187
2003,249,27,118,26,0,131,0,216,109,290,181
2004,275,25,97,6,0,175,0,242,102,313,211
2005,264,37,107,9,0,163,0,237,112,291,179
2006,253,25,105,15,0,158,0,241,119,290,171
2007,260,13,67,8,0,170,0,264,94,292,198
2008,258,9,98,7,0,167,0,255,98,291,193
2009,256,28,89,6,0,183,0,236,83,286,203
2010,280,58,109,13,0,203,0,236,111,293,182
2011,255,15,98,7,0,151,0,250,124,289,165
2012,254,28,80,13,0,179,0,258,107,300,193
2013,269,29,99,16,1,178,0,228,97,315,218
2014,271,5,63,8,0,168,0,267,106,341,235
2015,263,9,98,35,0,153,0,258,108,284,176
2016,248,15,86,10,0,181,1,244,119,307,188
2017,262,23,92,20,0,179,0,251,113,303,190
2018,226,16,76,23,0,151,0,261,95,303,208
2019,252,10,74,17,0,165,0,264,126,303,177
2020,259,6,81,12,0,154,0,254,105,310,205
2021,264,13,102,6,0,190,0,241,127,283,156
2022,242,12,81,23,0,171,1,264,109,316,207
2023,239,7,74,19,0,186,0,280,99,288,189
2024,242,14,52,21,0,183,1,282,68,320,252
2025,142,7,63,12,0,81,0,141,98,208,110
