Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,258,0,17,1,0,198,0,290,87,345,258
1952,263,3,59,6,1,214,0,246,92,318,226
1953,252,12,40,3,1,182,0,291,74,327,253
1954,278,16,43,2,0,210,0,288,107,323,216
1955,263,15,75,0,0,198,0,263,111,304,193
1956,286,29,72,0,0,203,1,267,97,304,207
1957,274,7,30,7,5,200,0,294,101,323,222
1958,253,7,62,1,0,218,0,263,102,326,224
1959,241,5,51,6,2,145,0,288,109,312,203
1960,280,11,55,0,0,221,0,279,123,312,189
1961,280,13,41,6,0,228,1,286,86,308,222
1962,302,18,78,0,0,230,0,249,120,317,197
1963,280,50,97,2,0,195,0,258,102,301,199
1964,272,11,71,9,0,184,1,252,97,300,203
1965,304,11,63,0,0,237,0,255,80,308,228
1966,276,12,59,4,0,227,0,267,104,301,197
1967,268,8,38,3,1,235,0,280,114,311,197
1968,270,17,66,3,0,221,0,248,103,318,215
1969,268,18,86,7,1,202,0,249,109,329,220
1970,276,20,71,1,0,236,0,255,99,341,242
1971,269,15,50,1,0,189,0,277,119,287,168
1972,303,8,41,4,0,188,0,279,115,292,177
1973,264,3,48,6,0,201,0,255,110,321,211
1974,286,0,21,3,0,230,0,307,67,309,242
1975,262,3,39,10,3,206,0,270,100,317,217
1976,265,12,61,13,0,186,0,272,119,325,206
1977,281,2,45,1,0,223,0,287,109,329,220
1978,302,14,62,3,0,198,0,266,107,313,206
1979,265,20,71,3,0,237,0,251,108,300,192
1980,265,15,61,3,0,218,1,277,96,304,208
1981,260,9,63,4,0,243,1,271,113,310,197
1982,242,6,54,12,0,188,1,289,104,310,206
1983,253,7,51,13,2,208,0,283,71,295,224
1984,284,1,36,5,1,210,0,278,81,336,255
1985,257,35,82,2,0,221,0,261,113,298,185
1986,277,18,64,6,0,191,0,273,102,332,230
1987,266,23,73,3,1,229,0,265,90,311,221
1988,259,0,26,1,1,233,0,302,114,307,193
1989,246,0,36,7,0,177,0,301,76,320,244
1990,264,0,26,8,1,194,0,312,99,312,213
1991,272,12,61,10,2,175,0,287,110,299,189
1992,247,1,28,9,1,199,0,303,49,286,237
1993,264,8,57,1,0,197,0,276,88,291,203
1994,273,4,33,19,1,207,0,296,108,290,182
1995,264,11,58,14,0,214,0,276,110,307,197
1996,287,29,91,3,0,187,0,248,105,318,213
1997,267,13,50,6,0,195,0,287,112,294,182
1998,268,4,42,7,0,241,0,297,103,320,217
1999,249,1,35,13,0,234,0,298,87,316,229
2000,257,1,33,5,0,252,0,310,98,354,256
2001,249,2,49,10,0,236,0,278,110,312,202
2002,253,4,37,9,1,224,0,311,98,340,242
2003,242,9,71,19,3,176,0,281,101,290,189
2004,269,3,70,6,0,220,0,266,102,313,211
2005,260,8,60,7,0,225,0,274,69,321,252
2006,240,4,64,18,1,199,0,273,100,305,205
2007,254,3,33,4,0,216,0,309,110,292,182
2008,258,2,58,3,0,204,0,285,107,302,195
2009,268,13,60,6,0,211,0,280,89,286,197
2010,271,40,94,13,1,202,0,251,113,286,173
2011,257,2,53,3,0,175,0,300,124,294,170
2012,266,14,49,6,0,212,0,299,137,300,163
2013,268,19,72,11,0,201,1,262,98,317,219
2014,265,1,28,3,0,207,0,316,105,324,219
2015,277,0,41,12,1,205,0,297,96,285,189
2016,246,1,60,12,0,194,0,282,108,313,205
2017,248,4,47,6,0,220,0,296,116,310,194
2018,231,5,56,16,0,171,0,281,95,306,211
2019,245,2,41,19,1,199,0,301,100,302,202
2020,252,0,31,14,0,202,0,312,132,332,200
2021,253,7,58,3,1,221,1,280,122,313,191
2022,236,3,36,17,0,181,0,303,99,322,223
2023,229,1,32,13,1,219,0,309,94,331,237
2024,230,3,24,9,1,219,0,318,113,325,212
2025,137,3,30,8,0,92,0,158,76,208,132
