Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,262,0,30,1,0,219,0,286,111,344,233
1952,264,4,69,6,1,226,1,250,94,285,191
1953,264,9,45,3,0,193,0,290,77,328,251
1954,281,16,46,2,0,215,2,286,107,323,216
1955,266,8,79,2,0,200,0,259,108,304,196
1956,292,26,71,0,0,218,0,268,97,304,207
1957,280,5,37,10,2,217,0,292,126,324,198
1958,254,4,59,0,0,227,0,256,102,335,233
1959,234,5,48,5,3,155,0,291,109,327,218
1960,268,9,38,0,0,240,0,293,68,312,244
1961,268,11,34,5,0,224,1,296,80,309,229
1962,292,13,71,0,0,216,0,254,120,317,197
1963,269,44,90,2,0,192,0,261,102,302,200
1964,258,11,66,9,1,185,0,262,97,311,214
1965,285,9,50,0,0,236,0,261,80,309,229
1966,267,11,45,6,0,228,0,275,103,302,199
1967,258,8,33,3,1,231,0,289,113,311,198
1968,260,12,60,3,0,214,0,254,102,318,216
1969,258,16,68,9,2,203,0,255,86,330,244
1970,260,17,59,1,0,221,0,263,98,355,257
1971,259,14,40,2,0,182,0,291,115,287,172
1972,288,7,38,4,2,186,0,290,115,292,177
1973,253,2,38,10,1,198,0,264,102,321,219
1974,273,0,17,3,2,225,0,316,66,309,243
1975,255,1,31,10,2,198,0,284,89,325,236
1976,250,8,57,18,0,179,0,284,119,325,206
1977,270,1,39,1,0,225,0,294,109,329,220
1978,283,10,51,3,0,217,0,275,106,313,207
1979,263,19,68,2,0,218,0,258,108,299,191
1980,272,12,61,3,0,210,0,280,97,304,207
1981,258,10,67,3,0,236,0,267,113,311,198
1982,244,7,41,11,0,196,0,287,104,334,230
1983,255,4,47,12,2,209,0,283,87,296,209
1984,287,0,36,6,1,211,0,281,81,362,281
1985,258,34,78,3,0,218,0,259,115,299,184
1986,267,18,61,7,1,190,0,271,102,333,231
1987,269,23,72,3,1,217,0,264,88,333,245
1988,261,0,21,1,0,239,0,305,114,307,193
1989,245,0,21,7,1,183,0,301,76,326,250
1990,262,0,23,9,1,201,0,313,99,325,226
1991,265,10,52,6,4,168,0,288,110,324,214
1992,245,2,25,10,1,203,0,302,49,360,311
1993,257,6,57,1,0,208,0,284,88,290,202
1994,265,3,29,21,4,205,0,299,108,290,182
1995,256,8,49,19,0,201,0,280,88,307,219
1996,281,19,89,3,0,182,1,250,105,318,213
1997,258,12,40,7,2,187,0,295,112,294,182
1998,265,3,41,8,0,234,0,302,103,321,218
1999,244,1,32,12,0,219,0,299,69,316,247
2000,254,1,29,3,1,236,0,308,96,354,258
2001,250,2,49,10,1,230,0,278,110,312,202
2002,253,3,35,8,0,205,0,316,96,313,217
2003,240,10,61,17,4,166,0,287,100,290,190
2004,262,2,67,4,0,207,0,271,102,313,211
2005,248,6,55,9,1,218,0,281,68,321,253
2006,230,3,59,19,4,190,0,276,100,305,205
2007,243,2,29,4,0,205,0,316,94,292,198
2008,253,1,46,3,0,208,0,291,107,326,219
2009,254,10,55,5,0,219,0,283,89,286,197
2010,259,35,89,13,2,205,0,255,111,286,175
2011,247,2,36,3,1,180,0,306,87,317,230
2012,254,14,38,5,1,222,0,305,107,300,193
2013,260,14,64,10,1,207,0,269,96,319,223
2014,249,1,19,3,1,211,0,322,105,328,223
2015,272,0,29,14,2,213,0,300,96,365,269
2016,241,1,50,14,1,205,0,286,77,316,239
2017,238,3,44,8,0,220,0,300,116,310,194
2018,224,3,46,18,2,167,0,286,95,320,225
2019,240,2,32,17,5,205,0,304,102,303,201
2020,235,0,21,16,4,198,0,315,132,333,201
2021,246,6,50,3,2,208,0,285,122,314,192
2022,231,3,29,19,0,182,0,312,99,322,223
2023,230,0,37,13,0,224,1,309,115,331,216
2024,232,3,21,10,0,227,0,322,113,325,212
2025,135,2,34,8,0,95,0,156,76,208,132
