Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,280,0,38,2,0,272,112,288,176
1952,281,5,73,7,0,233,94,285,191
1953,274,15,55,4,0,275,130,327,197
1954,296,19,60,0,0,271,118,323,205
1955,275,12,90,2,0,249,111,303,192
1956,298,29,86,0,0,260,114,281,167
1957,289,7,48,9,1,284,127,323,196
1958,275,4,74,0,0,256,112,326,214
1959,257,5,63,4,1,286,110,278,168
1960,284,10,58,0,0,279,123,288,165
1961,289,10,47,7,0,285,86,308,222
1962,298,15,78,0,0,248,120,317,197
1963,281,49,97,2,0,258,102,301,199
1964,274,9,74,8,0,253,97,293,196
1965,304,12,68,0,0,252,80,294,214
1966,279,12,56,3,0,266,103,302,199
1967,267,10,44,3,0,277,114,311,197
1968,273,16,77,3,0,245,103,315,212
1969,271,19,91,6,0,247,109,327,218
1970,271,19,75,1,0,256,99,341,242
1971,270,14,55,1,0,271,119,287,168
1972,301,8,50,4,0,275,115,292,177
1973,260,3,57,6,1,252,103,285,182
1974,289,0,26,3,0,299,106,309,203
1975,270,1,50,9,0,259,100,283,183
1976,262,12,64,13,0,272,119,325,206
1977,278,4,45,1,0,286,109,329,220
1978,303,14,68,2,0,264,107,312,205
1979,276,19,77,1,0,247,126,298,172
1980,292,15,70,1,0,265,97,304,207
1981,269,10,76,4,0,261,113,310,197
1982,255,6,59,5,0,277,104,310,206
1983,264,8,58,10,0,273,93,294,201
1984,300,1,48,4,1,264,108,336,228
1985,274,35,90,2,0,251,115,294,179
1986,282,23,67,5,1,268,102,331,229
1987,280,25,78,3,1,264,90,308,218
1988,273,0,32,0,0,296,116,303,187
1989,259,0,46,6,0,296,118,317,199
1990,277,0,36,6,0,301,99,295,196
1991,278,13,72,6,0,270,114,299,185
1992,252,0,31,6,0,294,66,286,220
1993,273,7,64,0,0,269,98,290,192
1994,275,3,36,19,1,295,108,290,182
1995,264,9,63,14,0,274,110,294,184
1996,291,26,93,3,0,247,126,318,192
1997,266,12,54,6,0,282,112,294,182
1998,270,4,44,6,0,296,84,320,236
1999,253,2,39,10,0,287,106,289,183
2000,260,1,34,4,0,307,98,353,255
2001,251,2,55,8,0,279,110,312,202
2002,260,4,40,8,1,308,98,339,241
2003,252,12,78,20,2,267,101,288,187
2004,276,3,77,5,0,259,102,313,211
2005,263,14,66,7,0,269,111,322,211
2006,235,5,70,16,0,273,100,305,205
2007,257,4,35,5,0,302,110,292,182
2008,261,2,60,3,0,280,107,302,195
2009,268,13,64,4,0,275,89,286,197
2010,274,40,96,11,0,249,113,286,173
2011,260,2,53,2,0,299,124,316,192
2012,268,17,48,4,0,295,107,300,193
2013,269,19,75,11,0,261,97,317,220
2014,269,1,24,3,0,315,105,324,219
2015,279,1,42,13,2,289,118,284,166
2016,250,2,61,12,0,277,108,312,204
2017,253,4,47,5,0,290,116,310,194
2018,231,5,59,14,0,279,95,306,211
2019,252,2,44,18,1,297,124,302,178
2020,259,0,37,14,1,307,132,309,177
2021,257,7,63,3,0,280,127,313,186
2022,242,3,39,15,0,297,92,322,230
2023,242,2,39,11,0,304,115,325,210
2024,237,3,26,10,0,314,113,325,212
